time,open,high,low,close,"Pattern Alert",Volume
1480962600,0.99178,0.99186,0.99139,0.99144,0,0
1480962900,0.99144,0.99148,0.99132,0.99144,0,0
1480963200,0.99144,0.99191,0.9914,0.9919,0,0
1480963500,0.9919,0.99206,0.99184,0.99198,0,0
1480963800,0.99198,0.992,0.99174,0.99198,0,0
1480964100,0.99198,0.99219,0.99175,0.99218,0,0
1480964400,0.99218,0.9922,0.99186,0.99188,0,0
1480964700,0.99188,0.99198,0.99178,0.99187,0,0
1480965000,0.99187,0.9919,0.99164,0.99182,0,0
1480965300,0.99182,0.99188,0.99168,0.99182,0,0
1480965600,0.99182,0.99181,0.99143,0.9915,0,0
1480965900,0.9915,0.99213,0.9915,0.99213,0,0
1480966200,0.99213,0.99227,0.99206,0.99214,0,0
1480966500,0.99214,0.9923,0.9921,0.99226,0,0
1480966800,0.99226,0.99243,0.99221,0.99227,0,0
1480967100,0.99227,0.9924,0.99214,0.99232,0,0
1480967400,0.99232,0.99244,0.99212,0.99242,0,0
1480967700,0.99242,0.99248,0.99186,0.9919,0,0
1480968000,0.9919,0.992,0.99146,0.99153,0,0
1480968300,0.99153,0.99178,0.99125,0.99178,0,0
1480968600,0.99178,0.99192,0.99156,0.99192,0,0
1480968900,0.99192,0.99208,0.99176,0.992,0,0
1480969200,0.992,0.9921,0.99152,0.99158,0,0
1480969500,0.99158,0.99178,0.99139,0.99173,0,0
1480969800,0.99173,0.9919,0.99174,0.99183,0,0
1480970100,0.99183,0.992,0.99182,0.99186,0,0
1480970400,0.99186,0.99192,0.99131,0.99142,0,0
1480970700,0.99142,0.99167,0.9912,0.99157,0,0
1480971000,0.99157,0.99183,0.9913,0.99178,0,0
1480971300,0.99178,0.9919,0.99161,0.99176,0,0
1480971600,0.99176,0.99192,0.99157,0.99166,0,0
1480971900,0.99166,0.9917,0.99158,0.99168,0,0
1480972200,0.99168,0.9917,0.99142,0.99148,0,0
1480972500,0.99148,0.99152,0.99128,0.9914,0,0
1480972800,0.9914,0.9914,0.99112,0.99118,0,0
1480973100,0.99118,0.9912,0.99086,0.991,0,0
1480973400,0.991,0.99139,0.99099,0.99137,0,0
1480973700,0.99137,0.99158,0.99134,0.99139,0,0
1480974000,0.99139,0.99146,0.99134,0.99138,0,0
1480974300,0.99138,0.99148,0.99137,0.99146,0,0
1480974600,0.99146,0.99155,0.9914,0.9915,0,0
1480974900,0.9915,0.99178,0.99146,0.99172,0,0
1480975200,0.99172,0.99161,0.9915,0.99154,0,0
1480975500,0.99154,0.99194,0.99152,0.99174,0,0
1480975800,0.99174,0.9919,0.99163,0.99188,0,0
1480976100,0.99188,0.99194,0.99174,0.99176,0,0
1480976400,0.99176,0.99182,0.99159,0.99182,0,0
1480976700,0.99182,0.99208,0.99175,0.99208,0,0
1480977000,0.99208,0.99214,0.99195,0.99202,0,0
