time,open,high,low,close,"Pattern Alert",Volume
1465929000,0.70907,0.70912,0.70876,0.70876,0,0
1465929300,0.70876,0.70885,0.70854,0.70872,0,0
1465929600,0.70872,0.70888,0.70866,0.70878,0,0
1465929900,0.70878,0.70889,0.70861,0.70881,0,0
1465930200,0.70881,0.70884,0.70866,0.70874,0,0
1465930500,0.70874,0.70886,0.70862,0.7088,0,0
1465930800,0.7088,0.70892,0.7085,0.70886,0,0
1465931100,0.70886,0.70912,0.70878,0.7088,0,0
1465931400,0.7088,0.70901,0.70875,0.70898,0,0
1465931700,0.70898,0.70938,0.70897,0.70934,0,0
1465932000,0.70934,0.70943,0.70902,0.70902,0,0
1465932300,0.70902,0.7092,0.70893,0.70914,0,0
1465932600,0.70914,0.70922,0.70902,0.70908,0,0
1465932900,0.70908,0.70916,0.70898,0.70906,0,0
1465933200,0.70906,0.70926,0.70899,0.70918,0,0
1465933500,0.70918,0.70915,0.70892,0.70905,0,0
1465933800,0.70905,0.70908,0.70886,0.70889,0,0
1465934100,0.70889,0.70912,0.70882,0.70904,0,0
1465934400,0.70904,0.70907,0.70872,0.70888,0,0
1465934700,0.70888,0.70902,0.70892,0.70899,0,0
1465935000,0.70899,0.7093,0.70902,0.70914,0,0
1465935300,0.70914,0.70924,0.70918,0.70924,0,0
1465935600,0.70924,0.7094,0.70928,0.70929,0,0
1465935900,0.70929,0.70936,0.70914,0.70934,0,0
1465936200,0.70934,0.7093,0.70885,0.70885,0,0
1465936500,0.70885,0.7089,0.7088,0.7088,0,0
1465936800,0.7088,0.7089,0.70878,0.70884,0,0
1465937100,0.70884,0.70879,0.7086,0.70869,0,0
1465937400,0.70869,0.70876,0.70864,0.70875,0,0
1465937700,0.70875,0.70884,0.70872,0.70884,0,0
1465938000,0.70884,0.70882,0.70724,0.7076,0,0
1465938300,0.7076,0.70843,0.70748,0.70794,0,0
1465938600,0.70794,0.7086,0.70798,0.70857,0,0
1465938900,0.70857,0.70854,0.70794,0.7083,0,0
1465939200,0.7083,0.70849,0.70761,0.70798,0,0
1465939500,0.70798,0.70806,0.70754,0.70774,0,0
1465939800,0.70774,0.70778,0.70734,0.70767,0,0
1465940100,0.70767,0.70796,0.70742,0.7078,0,0
1465940400,0.7078,0.70786,0.70744,0.7075,0,0
1465940700,0.7075,0.70798,0.7075,0.70791,0,0
1465941000,0.70791,0.70834,0.70788,0.70812,0,0
1465941300,0.70812,0.70809,0.70776,0.70807,0,0
1465941600,0.70807,0.7085,0.70813,0.70847,0,0
1465941900,0.70847,0.7087,0.7083,0.70834,0,0
1465942200,0.70834,0.7083,0.70807,0.70826,0,0
1465942500,0.70826,0.70827,0.70804,0.70808,0,0
1465942800,0.70808,0.70812,0.70802,0.70802,0,0
1465943100,0.70802,0.70824,0.70802,0.70818,0,0
1465943400,0.70818,0.70823,0.70802,0.70812,0,0
1465943700,0.70812,0.7082,0.70807,0.7081,0,0
1465944000,0.7081,0.70815,0.70802,0.70809,0,0
1465944300,0.70809,0.70812,0.70804,0.70812,0,0
1465944600,0.70812,0.70818,0.70804,0.70808,0,0
1465944900,0.70808,0.70816,0.70797,0.70812,0,0
1465945200,0.70812,0.70834,0.70816,0.70821,0,0
1465945500,0.70821,0.70827,0.7082,0.70824,0,0
1465945800,0.70824,0.7084,0.70828,0.7084,0,0
1465946100,0.7084,0.70856,0.70836,0.70856,0,0
1465946400,0.70856,0.70853,0.70812,0.70812,0,0
1465946700,0.70812,0.70817,0.708,0.70817,0,0
1465947000,0.70817,0.70824,0.70793,0.70793,0,0
1465947300,0.70793,0.70806,0.70785,0.70792,0,0
1465947600,0.70792,0.70808,0.70796,0.70808,0,0
1465947900,0.70808,0.70834,0.70811,0.70833,0,0
1465948200,0.70833,0.70836,0.70821,0.70824,0,0
1465948500,0.70824,0.70858,0.7082,0.70858,0,0
1465948800,0.70858,0.70866,0.70841,0.70841,0,0
1465949100,0.70841,0.70877,0.70846,0.70869,0,0
1465949400,0.70869,0.70866,0.70831,0.70846,0,0
1465949700,0.70846,0.7085,0.70818,0.70838,0,0
1465950000,0.70838,0.7084,0.70816,0.70839,0,0
1465950300,0.70839,0.70838,0.70782,0.70792,0,0
1465950600,0.70792,0.70789,0.70674,0.70695,0,0
1465950900,0.70695,0.70718,0.70668,0.70684,0,0
1465951200,0.70684,0.70731,0.7067,0.70731,0,0
1465951500,0.70731,0.7076,0.70712,0.7075,0,0
1465951800,0.7075,0.70786,0.70736,0.70746,0,0
1465952100,0.70746,0.70792,0.70748,0.70786,0,0
1465952400,0.70786,0.70816,0.70779,0.70816,0,0
1465952700,0.70816,0.70881,0.7081,0.70878,0,0
1465953000,0.70878,0.70874,0.70841,0.70846,0,0
1465953300,0.70846,0.70854,0.7081,0.70828,0,0
1465953600,0.70828,0.70828,0.70795,0.7081,0,0
1465953900,0.7081,0.7082,0.70742,0.70754,0,0
1465954200,0.70754,0.70814,0.70751,0.70812,0,0
1465954500,0.70812,0.70826,0.70768,0.70798,0,0
1465954800,0.70798,0.70801,0.7076,0.70793,0,0
1465955100,0.70793,0.70808,0.70788,0.70804,0,0
1465955400,0.70804,0.70848,0.70791,0.70842,0,0
1465955700,0.70842,0.70879,0.70838,0.7085,0,0
1465956000,0.7085,0.7091,0.70841,0.70908,0,0
1465956300,0.70908,0.70954,0.70912,0.70921,0,0
1465956600,0.70921,0.70978,0.70918,0.70946,0,0
1465956900,0.70946,0.7099,0.70936,0.70936,0,0
