time,open,high,low,close,"Pattern Alert",Volume
1480444200,84.164,84.172,84.156,84.164,0,0
1480444500,84.164,84.192,84.163,84.172,0,0
1480444800,84.172,84.171,84.122,84.128,0,0
1480445100,84.128,84.146,84.12,84.137,0,0
1480445400,84.137,84.154,84.118,84.149,0,0
1480445700,84.149,84.165,84.09,84.094,0,0
1480446000,84.094,84.13,84.062,84.13,0,0
1480446300,84.13,84.13,84.112,84.12,0,0
1480446600,84.12,84.14,84.119,84.124,0,0
1480446900,84.124,84.145,84.093,84.111,0,0
1480447200,84.111,84.126,84.096,84.118,0,0
1480447500,84.118,84.126,84.091,84.094,0,0
1480447800,84.094,84.128,84.073,84.126,0,0
1480448100,84.126,84.146,84.124,84.144,0,0
1480448400,84.144,84.166,84.143,84.156,0,0
1480448700,84.156,84.162,84.108,84.118,0,0
1480449000,84.118,84.142,84.118,84.132,0,0
1480449300,84.132,84.133,84.09,84.108,0,0
1480449600,84.108,84.144,84.106,84.134,0,0
1480449900,84.134,84.146,84.115,84.127,0,0
1480450200,84.127,84.129,84.1,84.1,0,0
1480450500,84.1,84.116,84.092,84.104,0,0
1480450800,84.104,84.118,84.096,84.112,0,0
1480451100,84.112,84.134,84.112,84.122,0,0
1480451400,84.122,84.123,84.096,84.111,0,0
1480451700,84.111,84.132,84.098,84.11,0,0
1480452000,84.11,84.124,84.098,84.1,0,0
1480452300,84.1,84.106,84.082,84.106,0,0
1480452600,84.106,84.106,84.086,84.094,0,0
1480452900,84.094,84.134,84.094,84.132,0,0
1480453200,84.132,84.142,84.122,84.128,0,0
1480453500,84.128,84.127,84.098,84.112,0,0
1480453800,84.112,84.126,84.099,84.102,0,0
1480454100,84.102,84.114,84.099,84.111,0,0
1480454400,84.111,84.124,84.108,84.114,0,0
1480454700,84.114,84.15,84.088,84.092,0,0
1480455000,84.092,84.108,84.085,84.09,0,0
1480455300,84.09,84.122,84.088,84.096,0,0
1480455600,84.096,84.113,84.094,84.098,0,0
1480455900,84.098,84.108,84.092,84.1,0,0
1480456200,84.1,84.105,84.092,84.092,0,0
1480456500,84.092,84.115,84.092,84.104,0,0
1480456800,84.104,84.108,84.077,84.091,0,0
1480457100,84.091,84.111,84.09,84.1,0,0
1480457400,84.1,84.146,84.101,84.142,0,0
1480457700,84.142,84.146,84.098,84.118,0,0
1480458000,84.118,84.132,84.112,84.132,0,0
1480458300,84.132,84.16,84.132,84.152,0,0
1480458600,84.152,84.158,84.112,84.128,0,0
1480458900,84.128,84.142,84.122,84.128,0,0
1480459200,84.128,84.166,84.128,84.145,0,0
1480459500,84.145,84.168,84.141,84.166,0,0
1480459800,84.166,84.192,84.164,84.192,0,0
1480460100,84.192,84.246,84.192,84.246,0,0
1480460400,84.246,84.282,84.181,84.278,0,0
1480460700,84.278,84.284,84.222,84.241,0,0
1480461000,84.241,84.261,84.184,84.204,0,0
1480461300,84.204,84.22,84.199,84.209,0,0
1480461600,84.209,84.222,84.202,84.213,0,0
1480461900,84.213,84.24,84.195,84.225,0,0
1480462200,84.225,84.235,84.203,84.222,0,0
1480462500,84.222,84.221,84.18,84.185,0,0
1480462800,84.185,84.209,84.184,84.204,0,0
1480463100,84.204,84.252,84.202,84.242,0,0
1480463400,84.242,84.25,84.189,84.202,0,0
1480463700,84.202,84.224,84.161,84.18,0,0
1480464000,84.18,84.228,84.14,84.168,0,0
1480464300,84.168,84.17,84.073,84.115,0,0
1480464600,84.115,84.116,84.016,84.019,0,0
1480464900,84.019,84.064,83.996,84.001,0,0
1480465200,84.001,84.092,83.978,84.059,0,0
1480465500,84.059,84.108,84.018,84.101,0,0
1480465800,84.101,84.102,84.009,84.036,0,0
1480466100,84.036,84.072,83.996,84.062,0,0
1480466400,84.062,84.101,84.054,84.066,0,0
1480466700,84.066,84.118,84.065,84.106,0,0
1480467000,84.106,84.116,84.077,84.1,0,0
1480467300,84.1,84.1,84.03,84.05,0,0
1480467600,84.05,84.08,84.01,84.026,0,0
1480467900,84.026,84.083,84.016,84.038,0,0
1480468200,84.038,84.043,84.002,84.019,0,0
1480468500,84.019,84.082,84.018,84.08,0,0
1480468800,84.08,84.127,84.07,84.094,0,0
1480469100,84.094,84.105,84.03,84.038,0,0
1480469400,84.038,84.038,83.976,83.986,0,0
1480469700,83.986,84.056,83.984,84.027,0,0
1480470000,84.027,84.088,84.026,84.077,0,0
1480470300,84.077,84.081,84.032,84.076,0,0
1480470600,84.076,84.088,83.991,83.993,0,0
1480470900,83.993,84.031,83.994,84.023,0,0
1480471200,84.023,84.064,83.984,83.984,0,0
1480471500,83.984,84.02,83.972,84.004,0,0
1480471800,84.004,84.044,84.002,84.031,0,0
1480472100,84.031,84.076,84.03,84.032,0,0
1480472400,84.032,84.044,84.024,84.04,0,0
1480472700,84.04,84.073,84.039,84.052,0,0
1480473000,84.052,84.054,84.034,84.042,0,0
1480473300,84.042,84.112,84.043,84.098,0,0
1480473600,84.098,84.104,84.074,84.094,0,0
1480473900,84.094,84.122,84.06,84.074,0,0
1480474200,84.074,84.077,84.056,84.058,0,0
1480474500,84.058,84.072,84.046,84.052,0,0
1480474800,84.052,84.054,84.032,84.036,0,0
1480475100,84.036,84.092,84.033,84.034,0,0
1480475400,84.034,84.066,84.016,84.038,0,0
1480475700,84.038,84.219,84.036,84.196,0,0
1480476000,84.196,84.2,84.121,84.128,0,0
1480476300,84.128,84.168,84.092,84.153,0,0
1480476600,84.153,84.173,84.121,84.122,0,0
1480476900,84.122,84.151,84.08,84.093,0,0
1480477200,84.093,84.137,84.086,84.135,0,0
1480477500,84.135,84.135,84.098,84.11,0,0
1480477800,84.11,84.128,84.09,84.118,0,0
1480478100,84.118,84.147,84.082,84.147,0,0
1480478400,84.147,84.155,84.101,84.103,0,0
1480478700,84.103,84.138,84.102,84.112,0,0
1480479000,84.112,84.138,84.09,84.13,0,0
1480479300,84.13,84.241,84.126,84.201,0,0
1480479600,84.201,84.294,84.182,84.272,0,0
1480479900,84.272,84.294,84.267,84.29,0,0
1480480200,84.29,84.36,84.29,84.328,0,0
1480480500,84.328,84.336,84.258,84.262,0,0
1480480800,84.262,84.282,84.248,84.276,0,0
1480481100,84.276,84.289,84.272,84.276,0,0
1480481400,84.276,84.298,84.212,84.251,0,0
1480481700,84.251,84.252,84.221,84.234,0,0
1480482000,84.234,84.318,84.234,84.314,0,0
1480482300,84.314,84.314,84.256,84.26,0,0
1480482600,84.26,84.282,84.233,84.248,0,0
1480482900,84.248,84.282,84.242,84.254,0,0
1480483200,84.254,84.298,84.248,84.272,0,0
1480483500,84.272,84.288,84.22,84.236,0,0
1480483800,84.236,84.252,84.212,84.238,0,0
1480484100,84.238,84.267,84.238,84.259,0,0
1480484400,84.259,84.276,84.242,84.252,0,0
1480484700,84.252,84.293,84.244,84.276,0,0
1480485000,84.276,84.304,84.272,84.3,0,0
1480485300,84.3,84.299,84.264,84.296,0,0
1480485600,84.296,84.346,84.287,84.338,0,0
1480485900,84.338,84.362,84.319,84.326,0,0
1480486200,84.326,84.33,84.293,84.32,0,0
1480486500,84.32,84.366,84.296,84.346,0,0
1480486800,84.346,84.356,84.306,84.312,0,0
1480487100,84.312,84.311,84.24,84.251,0,0
1480487400,84.251,84.276,84.24,84.254,0,0
1480487700,84.254,84.254,84.225,84.23,0,0
1480488000,84.23,84.251,84.231,84.248,0,0
1480488300,84.248,84.264,84.236,84.244,0,0
1480488600,84.244,84.32,84.232,84.3,0,0
1480488900,84.3,84.322,84.29,84.308,0,0
1480489200,84.308,84.334,84.288,84.302,0,0
1480489500,84.302,84.3,84.261,84.29,0,0
1480489800,84.29,84.324,84.275,84.31,0,0
1480490100,84.31,84.328,84.291,84.32,0,0
1480490400,84.32,84.336,84.28,84.284,0,0
1480490700,84.284,84.297,84.254,84.292,0,0
1480491000,84.292,84.32,84.292,84.308,0,0
1480491300,84.308,84.321,84.29,84.29,0,0
1480491600,84.29,84.322,84.286,84.316,0,0
1480491900,84.316,84.344,84.312,84.332,0,0
1480492200,84.332,84.338,84.303,84.31,0,0
1480492500,84.31,84.31,84.278,84.287,0,0
1480492800,84.287,84.334,84.269,84.314,0,0
1480493100,84.314,84.356,84.31,84.338,0,0
1480493400,84.338,84.37,84.324,84.353,0,0
1480493700,84.353,84.393,84.338,84.392,0,0
1480494000,84.392,84.398,84.325,84.361,0,0
1480494300,84.361,84.374,84.318,84.32,0,0
1480494600,84.32,84.335,84.306,84.32,0,0
1480494900,84.32,84.381,84.312,84.345,0,0
1480495200,84.345,84.406,84.344,84.38,0,0
1480495500,84.38,84.454,84.38,84.44,0,0
1480495800,84.44,84.439,84.383,84.398,0,0
1480496100,84.398,84.436,84.384,84.434,0,0
1480496400,84.434,84.436,84.382,84.413,0,0
1480496700,84.413,84.466,84.408,84.41,0,0
1480497000,84.41,84.44,84.4,84.413,0,0
1480497300,84.413,84.452,84.387,84.42,0,0
1480497600,84.42,84.479,84.42,84.476,0,0
1480497900,84.476,84.498,84.393,84.401,0,0
1480498200,84.401,84.44,84.395,84.419,0,0
1480498500,84.419,84.43,84.369,84.371,0,0
1480498800,84.371,84.384,84.349,84.354,0,0
1480499100,84.354,84.355,84.312,84.326,0,0
1480499400,84.326,84.36,84.3,84.353,0,0
1480499700,84.353,84.408,84.352,84.401,0,0
1480500000,84.401,84.4,84.36,84.362,0,0
1480500300,84.362,84.37,84.308,84.318,0,0
1480500600,84.318,84.318,84.269,84.276,0,0
1480500900,84.276,84.317,84.278,84.282,0,0
1480501200,84.282,84.314,84.278,84.292,0,0
1480501500,84.292,84.326,84.291,84.306,0,0
1480501800,84.306,84.383,84.306,84.346,0,0
1480502100,84.346,84.364,84.292,84.297,0,0
1480502400,84.297,84.32,84.286,84.29,0,0
1480502700,84.29,84.339,84.288,84.296,0,0
1480503000,84.296,84.342,84.293,84.338,0,0
1480503300,84.338,84.344,84.296,84.312,0,0
1480503600,84.312,84.345,84.29,84.29,0,0
1480503900,84.29,84.388,84.276,84.362,0,0
1480504200,84.362,84.372,84.318,84.342,0,0
1480504500,84.342,84.41,84.334,84.404,0,0
1480504800,84.404,84.406,84.366,84.378,0,0
1480505100,84.378,84.398,84.366,84.366,0,0
1480505400,84.366,84.394,84.348,84.388,0,0
1480505700,84.388,84.418,84.373,84.398,0,0
1480506000,84.398,84.447,84.382,84.442,0,0
1480506300,84.442,84.492,84.424,84.476,0,0
1480506600,84.476,84.478,84.413,84.43,0,0
1480506900,84.43,84.444,84.407,84.443,0,0
1480507200,84.443,84.452,84.377,84.412,0,0
1480507500,84.412,84.465,84.404,84.417,0,0
1480507800,84.417,84.433,84.382,84.41,0,0
1480508100,84.41,84.456,84.4,84.447,0,0
1480508400,84.447,84.46,84.357,84.358,0,0
1480508700,84.358,84.385,84.331,84.385,0,0
1480509000,84.385,84.422,84.334,84.4,0,0
1480509300,84.4,84.416,84.346,84.354,0,0
1480509600,84.354,84.383,84.347,84.355,0,0
1480509900,84.355,84.352,84.242,84.292,0,0
1480510200,84.292,84.302,84.252,84.276,0,0
1480510500,84.276,84.352,84.261,84.334,0,0
1480510800,84.334,84.376,84.322,84.332,0,0
1480511100,84.332,84.358,84.32,84.322,0,0
1480511400,84.322,84.353,84.304,84.31,0,0
1480511700,84.31,84.445,84.31,84.37,0,0
1480512000,84.37,84.412,84.356,84.388,0,0
1480512300,84.388,84.394,84.328,84.382,0,0
1480512600,84.382,84.4,84.328,84.328,0,0
1480512900,84.328,84.344,84.285,84.323,0,0
1480513200,84.323,84.35,84.311,84.34,0,0
1480513500,84.34,84.36,84.308,84.334,0,0
1480513800,84.334,84.355,84.326,84.342,0,0
1480514100,84.342,84.431,84.338,84.418,0,0
1480514400,84.418,84.456,84.412,84.429,0,0
1480514700,84.429,84.49,84.392,84.395,0,0
1480515000,84.395,84.442,84.372,84.411,0,0
1480515300,84.411,84.42,84.336,84.364,0,0
1480515600,84.364,84.372,84.288,84.298,0,0
1480515900,84.298,84.324,84.24,84.248,0,0
1480516200,84.248,84.306,84.248,84.293,0,0
1480516500,84.293,84.34,84.268,84.332,0,0
1480516800,84.332,84.358,84.299,84.318,0,0
1480517100,84.318,84.33,84.279,84.32,0,0
1480517400,84.32,84.321,84.21,84.258,0,0
1480517700,84.258,84.284,84.242,84.272,0,0
1480518000,84.272,84.284,84.211,84.211,0,0
1480518300,84.211,84.31,84.212,84.292,0,0
1480518600,84.292,84.292,84.231,84.256,0,0
1480518900,84.256,84.274,84.22,84.221,0,0
1480519200,84.221,84.23,84.189,84.192,0,0
1480519500,84.192,84.247,84.142,84.236,0,0
1480519800,84.236,84.274,84.217,84.228,0,0
1480520100,84.228,84.247,84.076,84.078,0,0
1480520400,84.078,84.121,84.05,84.11,0,0
1480520700,84.11,84.156,84.078,84.114,0,0
1480521000,84.114,84.146,84.081,84.145,0,0
1480521300,84.145,84.204,84.043,84.18,0,0
1480521600,84.18,84.302,84.131,84.279,0,0
