time,open,high,low,close,"Pattern Alert",Volume
1476901800,78.739,78.764,78.724,78.726,0,0
1476902100,78.726,78.762,78.722,78.758,0,0
1476902400,78.758,78.776,78.754,78.762,0,0
1476902700,78.762,78.768,78.748,78.764,0,0
1476903000,78.764,78.766,78.742,78.744,0,0
1476903300,78.744,78.772,78.743,78.766,0,0
1476903600,78.766,78.766,78.749,78.752,0,0
1476903900,78.752,78.804,78.752,78.804,0,0
1476904200,78.804,78.838,78.806,78.826,0,0
1476904500,78.826,78.841,78.826,78.838,0,0
1476904800,78.838,78.857,78.832,78.833,0,0
1476905100,78.833,78.835,78.818,78.824,0,0
1476905400,78.824,78.845,78.816,78.817,0,0
1476905700,78.817,78.825,78.804,78.81,0,0
1476906000,78.81,78.814,78.777,78.793,0,0
1476906300,78.793,78.806,78.772,78.776,0,0
1476906600,78.776,78.8,78.77,78.791,0,0
1476906900,78.791,78.795,78.772,78.784,0,0
1476907200,78.784,78.807,78.782,78.807,0,0
1476907500,78.807,78.811,78.792,78.798,0,0
1476907800,78.798,78.8,78.782,78.788,0,0
1476908100,78.788,78.805,78.786,78.805,0,0
1476908400,78.805,78.834,78.802,78.818,0,0
1476908700,78.818,78.844,78.802,78.844,0,0
1476909000,78.844,78.864,78.836,78.86,0,0
1476909300,78.86,78.864,78.854,78.864,0,0
1476909600,78.864,78.866,78.848,78.856,0,0
1476909900,78.856,78.858,78.84,78.85,0,0
1476910200,78.85,78.863,78.846,78.862,0,0
1476910500,78.862,78.89,78.863,78.882,0,0
1476910800,78.882,78.884,78.866,78.866,0,0
1476911100,78.866,78.866,78.84,78.858,0,0
1476911400,78.858,78.859,78.85,78.854,0,0
1476911700,78.854,78.856,78.812,78.823,0,0
1476912000,78.823,78.832,78.802,78.812,0,0
1476912300,78.812,78.828,78.812,78.816,0,0
1476912600,78.816,78.82,78.814,78.814,0,0
1476912900,78.814,78.816,78.778,78.809,0,0
1476913200,78.809,78.814,78.79,78.796,0,0
1476913500,78.796,78.822,78.777,78.806,0,0
1476913800,78.806,78.819,78.788,78.798,0,0
1476914100,78.798,78.798,78.785,78.787,0,0
1476914400,78.787,78.817,78.784,78.791,0,0
1476914700,78.791,78.8,78.772,78.776,0,0
1476915000,78.776,78.803,78.776,78.803,0,0
1476915300,78.803,78.802,78.778,78.778,0,0
1476915600,78.778,78.786,78.767,78.768,0,0
1476915900,78.768,78.773,78.742,78.757,0,0
