time,open,high,low,close,"Pattern Alert",Volume
1462213800,111.519,111.528,111.499,111.514,0,0
1462214100,111.514,111.578,111.514,111.54,0,0
1462214400,111.54,111.589,111.533,111.588,0,0
1462214700,111.588,111.591,111.536,111.537,0,0
1462215000,111.537,111.559,111.518,111.558,0,0
1462215300,111.558,111.578,111.511,111.512,0,0
1462215600,111.512,111.56,111.498,111.558,0,0
1462215900,111.558,111.562,111.548,111.552,0,0
1462216200,111.552,111.572,111.544,111.546,0,0
1462216500,111.546,111.55,111.528,111.534,0,0
1462216800,111.534,111.544,111.502,111.502,0,0
1462217100,111.502,111.504,111.481,111.486,0,0
1462217400,111.486,111.492,111.454,111.463,0,0
1462217700,111.463,111.501,111.447,111.489,0,0
1462218000,111.489,111.539,111.487,111.52,0,0
1462218300,111.52,111.534,111.492,111.516,0,0
1462218600,111.516,111.529,111.485,111.518,0,0
1462218900,111.518,111.521,111.427,111.44,0,0
1462219200,111.44,111.484,111.441,111.484,0,0
1462219500,111.484,111.502,111.482,111.502,0,0
1462219800,111.502,111.51,111.496,111.506,0,0
1462220100,111.506,111.518,111.474,111.474,0,0
1462220400,111.474,111.508,111.46,111.494,0,0
1462220700,111.494,111.498,111.48,111.486,0,0
1462221000,111.486,111.508,111.486,111.503,0,0
1462221300,111.503,111.512,111.504,111.51,0,0
1462221600,111.51,111.516,111.502,111.512,0,0
1462221900,111.512,111.536,111.508,111.526,0,0
1462222200,111.526,111.528,111.504,111.505,0,0
1462222500,111.505,111.524,111.498,111.516,0,0
1462222800,111.516,111.5,111.489,111.498,0,0
1462223100,111.498,111.566,111.5,111.514,0,0
1462223400,111.514,111.518,111.478,111.482,0,0
1462223700,111.482,111.49,111.444,111.486,0,0
1462224000,111.486,111.49,111.463,111.479,0,0
1462224300,111.479,111.498,111.478,111.498,0,0
1462224600,111.498,111.554,111.5,111.514,0,0
1462224900,111.514,111.52,111.498,111.498,0,0
1462225200,111.498,111.506,111.496,111.504,0,0
1462225500,111.504,111.516,111.502,111.506,0,0
1462225800,111.506,111.506,111.461,111.461,0,0
1462226100,111.461,111.488,111.444,111.454,0,0
1462226400,111.454,111.474,111.444,111.464,0,0
1462226700,111.464,111.474,111.449,111.468,0,0
1462227000,111.468,111.474,111.443,111.474,0,0
1462227300,111.474,111.473,111.451,111.468,0,0
1462227600,111.468,111.47,111.45,111.452,0,0
1462227900,111.452,111.464,111.442,111.443,0,0
1462228200,111.443,111.449,111.443,111.443,0,0
1462228500,111.443,111.451,111.428,111.428,0,0
1462228800,111.428,111.438,111.428,111.436,0,0
1462229100,111.436,111.451,111.426,111.446,0,0
1462229400,111.446,111.462,111.444,111.461,0,0
1462229700,111.461,111.462,111.454,111.459,0,0
1462230000,111.459,111.478,111.459,111.476,0,0
1462230300,111.476,111.476,111.469,111.47,0,0
1462230600,111.47,111.47,111.468,111.47,0,0
1462230900,111.47,111.473,111.462,111.466,0,0
1462231200,111.466,111.474,111.458,111.474,0,0
1462231500,111.474,111.471,111.444,111.444,0,0
1462231800,111.444,111.464,111.444,111.464,0,0
1462232100,111.464,111.464,111.453,111.457,0,0
1462232400,111.457,111.46,111.443,111.448,0,0
1462232700,111.448,111.461,111.442,111.448,0,0
1462233000,111.448,111.454,111.443,111.448,0,0
1462233300,111.448,111.452,111.392,111.397,0,0
1462233600,111.397,111.413,111.364,111.366,0,0
1462233900,111.366,111.373,111.272,111.272,0,0
1462234200,111.272,111.294,111.259,111.279,0,0
1462234500,111.279,111.279,111.16,111.168,0,0
1462234800,111.168,111.2,111.122,111.17,0,0
1462235100,111.17,111.216,111.142,111.204,0,0
1462235400,111.204,111.231,111.2,111.224,0,0
1462235700,111.224,111.259,111.204,111.218,0,0
1462236000,111.218,111.238,111.194,111.212,0,0
1462236300,111.212,111.241,111.178,111.22,0,0
1462236600,111.22,111.232,111.175,111.212,0,0
1462236900,111.212,111.244,111.192,111.227,0,0
1462237200,111.227,111.242,111.189,111.242,0,0
1462237500,111.242,111.257,111.204,111.252,0,0
1462237800,111.252,111.256,111.232,111.238,0,0
1462238100,111.238,111.294,111.234,111.29,0,0
1462238400,111.29,111.306,111.279,111.296,0,0
1462238700,111.296,111.357,111.298,111.352,0,0
1462239000,111.352,111.359,111.29,111.293,0,0
1462239300,111.293,111.349,111.284,111.34,0,0
1462239600,111.34,111.396,111.34,111.368,0,0
1462239900,111.368,111.368,111.3,111.322,0,0
1462240200,111.322,111.327,111.269,111.291,0,0
1462240500,111.291,111.3,111.275,111.3,0,0
1462240800,111.3,111.304,111.263,111.287,0,0
1462241100,111.287,111.32,111.285,111.292,0,0
1462241400,111.292,111.342,111.274,111.326,0,0
1462241700,111.326,111.346,111.306,111.338,0,0
1462242000,111.338,111.342,111.306,111.332,0,0
1462242300,111.332,111.373,111.33,111.353,0,0
