time,open,high,low,close,"Pattern Alert",Volume
1473791400,1.47802,1.47808,1.47775,1.47798,0,0
1473791700,1.47798,1.47827,1.47782,1.47824,0,0
1473792000,1.47824,1.47824,1.47743,1.47744,0,0
1473792300,1.47744,1.47747,1.47679,1.47698,0,0
1473792600,1.47698,1.47732,1.4767,1.47692,0,0
1473792900,1.47692,1.477,1.4766,1.47676,0,0
1473793200,1.47676,1.47681,1.47588,1.4762,0,0
1473793500,1.4762,1.47642,1.47608,1.47624,0,0
1473793800,1.47624,1.47694,1.47614,1.4769,0,0
1473794100,1.4769,1.47696,1.4764,1.47672,0,0
1473794400,1.47672,1.47683,1.47636,1.47662,0,0
1473794700,1.47662,1.47668,1.47631,1.47636,0,0
1473795000,1.47636,1.47646,1.47614,1.47644,0,0
1473795300,1.47644,1.47654,1.47626,1.4763,0,0
1473795600,1.4763,1.47701,1.47632,1.4765,0,0
1473795900,1.4765,1.47672,1.47637,1.4765,0,0
1473796200,1.4765,1.47664,1.4762,1.47638,0,0
1473796500,1.47638,1.47719,1.47639,1.47688,0,0
1473796800,1.47688,1.47715,1.47638,1.47668,0,0
1473797100,1.47668,1.47691,1.47632,1.47658,0,0
1473797400,1.47658,1.47692,1.47654,1.47692,0,0
1473797700,1.47692,1.47757,1.47688,1.47732,0,0
1473798000,1.47732,1.4774,1.47724,1.4774,0,0
1473798300,1.4774,1.4777,1.4774,1.47762,0,0
1473798600,1.47762,1.47762,1.47659,1.47719,0,0
1473798900,1.47719,1.47754,1.47697,1.47754,0,0
1473799200,1.47754,1.47757,1.47724,1.47736,0,0
1473799500,1.47736,1.47737,1.47612,1.47625,0,0
1473799800,1.47625,1.47728,1.4758,1.47716,0,0
1473800100,1.47716,1.4787,1.47717,1.47858,0,0
1473800400,1.47858,1.47789,1.47719,1.47766,0,0
1473800700,1.47766,1.47768,1.47726,1.47736,0,0
1473801000,1.47736,1.47742,1.47722,1.47738,0,0
1473801300,1.47738,1.47744,1.47727,1.4774,0,0
1473801600,1.4774,1.47762,1.4771,1.47712,0,0
1473801900,1.47712,1.4773,1.47704,1.4772,0,0
1473802200,1.4772,1.47722,1.47697,1.47702,0,0
1473802500,1.47702,1.47706,1.47661,1.47672,0,0
1473802800,1.47672,1.47694,1.47636,1.47636,0,0
1473803100,1.47636,1.47708,1.47632,1.477,0,0
1473803400,1.477,1.47705,1.47632,1.47654,0,0
1473803700,1.47654,1.47732,1.47622,1.47624,0,0
1473804000,1.47624,1.47664,1.4761,1.47613,0,0
1473804300,1.47613,1.4762,1.47602,1.47618,0,0
1473804600,1.47618,1.47639,1.47608,1.47611,0,0
1473804900,1.47611,1.4764,1.47606,1.47635,0,0
1473805200,1.47635,1.47684,1.4763,1.47654,0,0
1473805500,1.47654,1.47692,1.47636,1.47682,0,0
1473805800,1.47682,1.47701,1.47674,1.47682,0,0
1473806100,1.47682,1.47688,1.47671,1.47671,0,0
1473806400,1.47671,1.47676,1.47634,1.47653,0,0
1473806700,1.47653,1.47669,1.47648,1.47653,0,0
1473807000,1.47653,1.4766,1.47634,1.47647,0,0
1473807300,1.47647,1.47653,1.4761,1.47618,0,0
1473807600,1.47618,1.47644,1.47604,1.47644,0,0
1473807900,1.47644,1.47649,1.47632,1.47649,0,0
1473808200,1.47649,1.47666,1.47645,1.47656,0,0
1473808500,1.47656,1.47662,1.47647,1.47659,0,0
1473808800,1.47659,1.47664,1.47647,1.47654,0,0
1473809100,1.47654,1.47654,1.47623,1.47628,0,0
1473809400,1.47628,1.47648,1.47628,1.47648,0,0
1473809700,1.47648,1.47654,1.47644,1.47649,0,0
1473810000,1.47649,1.4766,1.4763,1.47633,0,0
1473810300,1.47633,1.47644,1.47622,1.47633,0,0
1473810600,1.47633,1.47643,1.47604,1.47604,0,0
1473810900,1.47604,1.47636,1.47598,1.47632,0,0
1473811200,1.47632,1.47674,1.47624,1.47673,0,0
1473811500,1.47673,1.47736,1.47672,1.47736,0,0
1473811800,1.47736,1.47751,1.47723,1.47744,0,0
1473812100,1.47744,1.47748,1.47668,1.47674,0,0
1473812400,1.47674,1.47724,1.47669,1.4771,0,0
1473812700,1.4771,1.4771,1.47662,1.47674,0,0
1473813000,1.47674,1.47719,1.47671,1.47712,0,0
1473813300,1.47712,1.47718,1.47698,1.47711,0,0
1473813600,1.47711,1.47716,1.47692,1.47694,0,0
1473813900,1.47694,1.4772,1.47694,1.47705,0,0
1473814200,1.47705,1.47724,1.477,1.47704,0,0
1473814500,1.47704,1.47712,1.47679,1.47682,0,0
1473814800,1.47682,1.47721,1.47683,1.47716,0,0
1473815100,1.47716,1.47722,1.47688,1.47692,0,0
1473815400,1.47692,1.47696,1.4764,1.4764,0,0
1473815700,1.4764,1.47652,1.47618,1.47618,0,0
1473816000,1.47618,1.4764,1.47615,1.47631,0,0
1473816300,1.47631,1.47638,1.47594,1.47602,0,0
1473816600,1.47602,1.47654,1.47602,1.47618,0,0
1473816900,1.47618,1.4766,1.47602,1.47651,0,0
1473817200,1.47651,1.47663,1.4764,1.47653,0,0
1473817500,1.47653,1.4769,1.47647,1.4769,0,0
1473817800,1.4769,1.47741,1.47682,1.47705,0,0
1473818100,1.47705,1.47706,1.47637,1.47638,0,0
1473818400,1.47638,1.4765,1.47596,1.47596,0,0
1473818700,1.47596,1.47654,1.47585,1.47652,0,0
1473819000,1.47652,1.47672,1.47634,1.47668,0,0
1473819300,1.47668,1.47678,1.4765,1.47659,0,0
1473819600,1.47659,1.47661,1.47635,1.47637,0,0
1473819900,1.47637,1.47664,1.47632,1.47652,0,0
1473820200,1.47652,1.4767,1.47618,1.4762,0,0
1473820500,1.4762,1.47625,1.476,1.4762,0,0
1473820800,1.4762,1.47646,1.47614,1.47644,0,0
1473821100,1.47644,1.47648,1.4763,1.47646,0,0
1473821400,1.47646,1.47653,1.47627,1.47635,0,0
1473821700,1.47635,1.47638,1.47616,1.47632,0,0
1473822000,1.47632,1.47644,1.47616,1.47642,0,0
1473822300,1.47642,1.47642,1.47605,1.47634,0,0
1473822600,1.47634,1.47646,1.47624,1.47644,0,0
1473822900,1.47644,1.47664,1.47634,1.47658,0,0
1473823200,1.47658,1.47672,1.47632,1.47642,0,0
1473823500,1.47642,1.47653,1.47634,1.47635,0,0
1473823800,1.47635,1.47655,1.47636,1.47645,0,0
1473824100,1.47645,1.47659,1.47642,1.47652,0,0
1473824400,1.47652,1.4768,1.47645,1.4766,0,0
1473824700,1.4766,1.47662,1.4764,1.4764,0,0
1473825000,1.4764,1.4764,1.47606,1.47609,0,0
1473825300,1.47609,1.47634,1.47604,1.47611,0,0
1473825600,1.47611,1.47632,1.47594,1.47602,0,0
1473825900,1.47602,1.47604,1.47582,1.47603,0,0
1473826200,1.47603,1.4762,1.47604,1.4761,0,0
1473826500,1.4761,1.4764,1.47612,1.47632,0,0
1473826800,1.47632,1.47646,1.47613,1.47616,0,0
1473827100,1.47616,1.47624,1.47596,1.47596,0,0
1473827400,1.47596,1.47623,1.4759,1.47611,0,0
1473827700,1.47611,1.47629,1.47605,1.47626,0,0
1473828000,1.47626,1.47638,1.47624,1.47634,0,0
1473828300,1.47634,1.47641,1.47631,1.47636,0,0
1473828600,1.47636,1.47636,1.47617,1.47626,0,0
1473828900,1.47626,1.47626,1.47596,1.476,0,0
1473829200,1.476,1.47629,1.47599,1.47616,0,0
1473829500,1.47616,1.47622,1.4761,1.47622,0,0
1473829800,1.47622,1.47644,1.47622,1.47644,0,0
1473830100,1.47644,1.47649,1.47618,1.47622,0,0
1473830400,1.47622,1.47624,1.476,1.47614,0,0
1473830700,1.47614,1.47614,1.47598,1.476,0,0
1473831000,1.476,1.4762,1.476,1.47608,0,0
1473831300,1.47608,1.47629,1.47602,1.47623,0,0
1473831600,1.47623,1.47636,1.47613,1.47632,0,0
1473831900,1.47632,1.47652,1.47622,1.47652,0,0
1473832200,1.47652,1.47658,1.4764,1.47651,0,0
1473832500,1.47651,1.47668,1.47642,1.4766,0,0
1473832800,1.4766,1.47668,1.4764,1.4764,0,0
1473833100,1.4764,1.47696,1.47641,1.47686,0,0
1473833400,1.47686,1.4773,1.47682,1.4771,0,0
1473833700,1.4771,1.4775,1.47686,1.47686,0,0
1473834000,1.47686,1.47687,1.47645,1.47684,0,0
1473834300,1.47684,1.47683,1.4762,1.47622,0,0
1473834600,1.47622,1.4765,1.47614,1.4763,0,0
1473834900,1.4763,1.47661,1.47624,1.47652,0,0
1473835200,1.47652,1.47652,1.47522,1.47528,0,0
1473835500,1.47528,1.4754,1.47506,1.47522,0,0
1473835800,1.47522,1.476,1.47521,1.47598,0,0
1473836100,1.47598,1.47612,1.47524,1.47578,0,0
1473836400,1.47578,1.4767,1.4755,1.47628,0,0
1473836700,1.47628,1.4763,1.47556,1.47585,0,0
1473837000,1.47585,1.47634,1.47586,1.47609,0,0
1473837300,1.47609,1.47657,1.47609,1.47624,0,0
1473837600,1.47624,1.47652,1.4761,1.4764,0,0
1473837900,1.4764,1.47654,1.47594,1.47601,0,0
1473838200,1.47601,1.47696,1.47582,1.47696,0,0
1473838500,1.47696,1.47717,1.47684,1.47694,0,0
1473838800,1.47694,1.47735,1.47658,1.47703,0,0
1473839100,1.47703,1.47749,1.477,1.47726,0,0
1473839400,1.47726,1.47732,1.47686,1.47702,0,0
