time,open,high,low,close,"Pattern Alert",Volume
1475173800,1.08365,1.0837,1.08326,1.08348,0,0
1475174100,1.08348,1.08369,1.08348,1.08369,0,0
1475174400,1.08369,1.08378,1.08366,1.08376,0,0
1475174700,1.08376,1.08374,1.08362,1.08364,0,0
1475175000,1.08364,1.08402,1.08362,1.0838,0,0
1475175300,1.0838,1.08388,1.08357,1.08366,0,0
1475175600,1.08366,1.08381,1.08364,1.08381,0,0
1475175900,1.08381,1.08396,1.08379,1.08393,0,0
1475176200,1.08393,1.08403,1.08394,1.08403,0,0
1475176500,1.08403,1.08403,1.08392,1.08392,0,0
1475176800,1.08392,1.08408,1.08392,1.08394,0,0
1475177100,1.08394,1.08402,1.08387,1.08396,0,0
1475177400,1.08396,1.08416,1.08399,1.08402,0,0
1475177700,1.08402,1.08412,1.08397,1.08406,0,0
1475178000,1.08406,1.08404,1.08386,1.08393,0,0
1475178300,1.08393,1.08405,1.08394,1.08405,0,0
1475178600,1.08405,1.08406,1.08394,1.08397,0,0
1475178900,1.08397,1.08398,1.08383,1.08385,0,0
1475179200,1.08385,1.0839,1.08374,1.0839,0,0
1475179500,1.0839,1.08405,1.0839,1.08405,0,0
1475179800,1.08405,1.08412,1.084,1.08407,0,0
1475180100,1.08407,1.08422,1.084,1.08402,0,0
1475180400,1.08402,1.08408,1.08398,1.08406,0,0
1475180700,1.08406,1.0841,1.08404,1.0841,0,0
1475181000,1.0841,1.08428,1.0841,1.08428,0,0
1475181300,1.08428,1.08428,1.08424,1.08428,0,0
1475181600,1.08428,1.08433,1.08418,1.08431,0,0
1475181900,1.08431,1.08436,1.08424,1.08436,0,0
1475182200,1.08436,1.08442,1.08432,1.08438,0,0
1475182500,1.08438,1.08448,1.08436,1.08448,0,0
1475182800,1.08448,1.08448,1.08386,1.08399,0,0
1475183100,1.08399,1.08406,1.08392,1.08392,0,0
1475183400,1.08392,1.08402,1.08388,1.08388,0,0
1475183700,1.08388,1.08404,1.08386,1.08398,0,0
1475184000,1.08398,1.08408,1.08398,1.08404,0,0
1475184300,1.08404,1.08404,1.0839,1.0839,0,0
1475184600,1.0839,1.08387,1.08384,1.08387,0,0
1475184900,1.08387,1.0839,1.0839,1.0839,0,0
1475185200,1.0839,1.08398,1.08386,1.08398,0,0
1475185500,1.08398,1.08398,1.08394,1.08394,0,0
1475185800,1.08394,1.08395,1.08388,1.08388,0,0
1475186100,1.08388,1.08408,1.08388,1.08404,0,0
1475186400,1.08404,1.084,1.08366,1.08372,0,0
1475186700,1.08372,1.08378,1.08366,1.08366,0,0
1475187000,1.08366,1.08378,1.08364,1.08368,0,0
1475187300,1.08368,1.08368,1.0836,1.08364,0,0
1475187600,1.08364,1.08394,1.0836,1.08394,0,0
1475187900,1.08394,1.08392,1.08378,1.08378,0,0
1475188200,1.08378,1.08386,1.0838,1.08386,0,0
1475188500,1.08386,1.08389,1.08382,1.08384,0,0
1475188800,1.08384,1.08388,1.08378,1.0838,0,0
1475189100,1.0838,1.08387,1.08383,1.08387,0,0
1475189400,1.08387,1.08387,1.08382,1.08384,0,0
1475189700,1.08384,1.08388,1.08386,1.08388,0,0
1475190000,1.08388,1.08388,1.08382,1.08384,0,0
1475190300,1.08384,1.08389,1.08382,1.08389,0,0
1475190600,1.08389,1.08389,1.08384,1.08389,0,0
1475190900,1.08389,1.08389,1.08384,1.08386,0,0
1475191200,1.08386,1.08396,1.08386,1.08389,0,0
1475191500,1.08389,1.08392,1.08377,1.08392,0,0
1475191800,1.08392,1.08392,1.08374,1.08376,0,0
1475192100,1.08376,1.08384,1.08374,1.08374,0,0
1475192400,1.08374,1.0838,1.08376,1.08378,0,0
1475192700,1.08378,1.08387,1.08375,1.08387,0,0
1475193000,1.08387,1.08388,1.08383,1.08383,0,0
1475193300,1.08383,1.08392,1.08385,1.08388,0,0
1475193600,1.08388,1.08398,1.08382,1.08382,0,0
1475193900,1.08382,1.08379,1.08367,1.0837,0,0
1475194200,1.0837,1.0839,1.08368,1.08382,0,0
1475194500,1.08382,1.0839,1.0838,1.08382,0,0
1475194800,1.08382,1.08388,1.08378,1.08385,0,0
1475195100,1.08385,1.08388,1.08382,1.08382,0,0
1475195400,1.08382,1.0839,1.08382,1.0839,0,0
1475195700,1.0839,1.08392,1.0838,1.08383,0,0
1475196000,1.08383,1.08384,1.08376,1.08382,0,0
1475196300,1.08382,1.08393,1.08374,1.08383,0,0
1475196600,1.08383,1.08385,1.08358,1.08363,0,0
1475196900,1.08363,1.08367,1.08333,1.08344,0,0
1475197200,1.08344,1.08365,1.08342,1.08362,0,0
1475197500,1.08362,1.08374,1.08357,1.08357,0,0
1475197800,1.08357,1.08364,1.0835,1.08354,0,0
1475198100,1.08354,1.08354,1.0834,1.08345,0,0
1475198400,1.08345,1.08342,1.0834,1.08342,0,0
1475198700,1.08342,1.08348,1.0834,1.0834,0,0
1475199000,1.0834,1.08352,1.08338,1.0835,0,0
1475199300,1.0835,1.0835,1.08343,1.08348,0,0
1475199600,1.08348,1.08356,1.08345,1.08356,0,0
1475199900,1.08356,1.0836,1.08348,1.08353,0,0
1475200200,1.08353,1.08358,1.08348,1.08354,0,0
1475200500,1.08354,1.08358,1.08337,1.08337,0,0
1475200800,1.08337,1.08346,1.08339,1.0834,0,0
1475201100,1.0834,1.0836,1.08336,1.08348,0,0
1475201400,1.08348,1.08348,1.0834,1.0834,0,0
