time,open,high,low,close,"Pattern Alert",Volume
1464201000,1.11598,1.11616,1.11578,1.11616,0,0
1464201300,1.11616,1.11642,1.11608,1.1161,0,0
1464201600,1.1161,1.11638,1.11612,1.11634,0,0
1464201900,1.11634,1.11644,1.11617,1.11617,0,0
1464202200,1.11617,1.11634,1.11616,1.11625,0,0
1464202500,1.11625,1.11646,1.11614,1.1162,0,0
1464202800,1.1162,1.1162,1.11592,1.11612,0,0
1464203100,1.11612,1.11612,1.11597,1.11604,0,0
1464203400,1.11604,1.11612,1.116,1.11604,0,0
1464203700,1.11604,1.11608,1.11597,1.11604,0,0
1464204000,1.11604,1.11628,1.11606,1.11618,0,0
1464204300,1.11618,1.11629,1.11614,1.11622,0,0
1464204600,1.11622,1.1162,1.116,1.11608,0,0
1464204900,1.11608,1.11631,1.11602,1.11626,0,0
1464205200,1.11626,1.1163,1.11612,1.11612,0,0
1464205500,1.11612,1.1162,1.11595,1.11618,0,0
1464205800,1.11618,1.11623,1.11583,1.11583,0,0
1464206100,1.11583,1.11584,1.11528,1.11536,0,0
1464206400,1.11536,1.11538,1.11498,1.11528,0,0
1464206700,1.11528,1.11536,1.1152,1.11522,0,0
1464207000,1.11522,1.11549,1.11522,1.11532,0,0
1464207300,1.11532,1.11536,1.1152,1.11525,0,0
1464207600,1.11525,1.11542,1.11528,1.11539,0,0
1464207900,1.11539,1.1155,1.1154,1.11542,0,0
1464208200,1.11542,1.11544,1.11527,1.11527,0,0
1464208500,1.11527,1.11542,1.11525,1.11538,0,0
1464208800,1.11538,1.11544,1.11532,1.11533,0,0
1464209100,1.11533,1.11542,1.11522,1.11536,0,0
1464209400,1.11536,1.11542,1.11524,1.11524,0,0
1464209700,1.11524,1.11551,1.1152,1.11547,0,0
1464210000,1.11547,1.11552,1.11528,1.11552,0,0
1464210300,1.11552,1.11576,1.11546,1.11554,0,0
1464210600,1.11554,1.1159,1.11548,1.11561,0,0
1464210900,1.11561,1.1157,1.11557,1.11568,0,0
1464211200,1.11568,1.1158,1.11564,1.11576,0,0
1464211500,1.11576,1.11587,1.11556,1.11556,0,0
1464211800,1.11556,1.11584,1.11556,1.1157,0,0
1464212100,1.1157,1.1159,1.11556,1.11584,0,0
1464212400,1.11584,1.11584,1.1158,1.1158,0,0
1464212700,1.1158,1.11584,1.11545,1.11571,0,0
1464213000,1.11571,1.11575,1.11562,1.11572,0,0
1464213300,1.11572,1.11574,1.11551,1.11553,0,0
1464213600,1.11553,1.11568,1.11549,1.11552,0,0
1464213900,1.11552,1.1156,1.1155,1.11552,0,0
