time,open,high,low,close,"Pattern Alert",Volume
1462473000,1.93976,1.9399,1.93948,1.93958,0,0
1462473300,1.93958,1.93992,1.93916,1.93992,0,0
1462473600,1.93992,1.94002,1.9396,1.93969,0,0
1462473900,1.93969,1.93972,1.93904,1.93928,0,0
1462474200,1.93928,1.93993,1.93912,1.93965,0,0
1462474500,1.93965,1.94059,1.93962,1.94039,0,0
1462474800,1.94039,1.94084,1.94034,1.94064,0,0
1462475100,1.94064,1.94086,1.9405,1.94052,0,0
1462475400,1.94052,1.94096,1.9405,1.94092,0,0
1462475700,1.94092,1.94088,1.94034,1.94036,0,0
1462476000,1.94036,1.94094,1.94038,1.94068,0,0
1462476300,1.94068,1.9409,1.94063,1.9407,0,0
1462476600,1.9407,1.94089,1.94031,1.94038,0,0
1462476900,1.94038,1.94063,1.94027,1.94046,0,0
1462477200,1.94046,1.94068,1.94017,1.94057,0,0
1462477500,1.94057,1.94141,1.94037,1.94118,0,0
1462477800,1.94118,1.94124,1.94042,1.94065,0,0
1462478100,1.94065,1.94075,1.94019,1.94033,0,0
1462478400,1.94033,1.94108,1.94033,1.9409,0,0
1462478700,1.9409,1.94096,1.94058,1.94066,0,0
1462479000,1.94066,1.94128,1.94066,1.9408,0,0
1462479300,1.9408,1.94092,1.9404,1.94046,0,0
1462479600,1.94046,1.94106,1.94042,1.94101,0,0
1462479900,1.94101,1.94143,1.9409,1.94098,0,0
1462480200,1.94098,1.94128,1.94084,1.94128,0,0
1462480500,1.94128,1.94128,1.94115,1.94119,0,0
1462480800,1.94119,1.94126,1.94091,1.94094,0,0
1462481100,1.94094,1.94094,1.94056,1.94069,0,0
1462481400,1.94069,1.94105,1.94037,1.9405,0,0
1462481700,1.9405,1.94063,1.94033,1.94046,0,0
1462482000,1.94046,1.94069,1.9404,1.9404,0,0
1462482300,1.9404,1.9407,1.9404,1.9405,0,0
1462482600,1.9405,1.94052,1.9401,1.94032,0,0
1462482900,1.94032,1.94068,1.94022,1.94068,0,0
1462483200,1.94068,1.94074,1.94012,1.94013,0,0
1462483500,1.94013,1.9404,1.94013,1.94039,0,0
1462483800,1.94039,1.9404,1.93992,1.94018,0,0
1462484100,1.94018,1.94038,1.9402,1.94036,0,0
1462484400,1.94036,1.94038,1.94004,1.94004,0,0
1462484700,1.94004,1.94024,1.93994,1.94017,0,0
1462485000,1.94017,1.94051,1.93977,1.9405,0,0
1462485300,1.9405,1.9405,1.94017,1.94046,0,0
1462485600,1.94046,1.94071,1.93962,1.94067,0,0
1462485900,1.94067,1.9412,1.93993,1.94012,0,0
1462486200,1.94012,1.9404,1.93996,1.94006,0,0
1462486500,1.94006,1.94074,1.93973,1.93973,0,0
1462486800,1.93973,1.94039,1.93964,1.94017,0,0
1462487100,1.94017,1.94043,1.93979,1.94022,0,0
1462487400,1.94022,1.94027,1.9397,1.94,0,0
1462487700,1.94,1.94022,1.93975,1.93986,0,0
1462488000,1.93986,1.94,1.93967,1.93976,0,0
1462488300,1.93976,1.94009,1.9395,1.93964,0,0
1462488600,1.93964,1.94009,1.93962,1.93992,0,0
1462488900,1.93992,1.93995,1.9397,1.93972,0,0
1462489200,1.93972,1.93976,1.93928,1.93976,0,0
1462489500,1.93976,1.93995,1.939,1.93909,0,0
1462489800,1.93909,1.93917,1.93884,1.93884,0,0
1462490100,1.93884,1.939,1.93842,1.93899,0,0
1462490400,1.93899,1.93964,1.939,1.93922,0,0
1462490700,1.93922,1.93928,1.93884,1.9389,0,0
1462491000,1.9389,1.93906,1.93884,1.93898,0,0
1462491300,1.93898,1.93957,1.93884,1.93929,0,0
1462491600,1.93929,1.93954,1.93901,1.93901,0,0
1462491900,1.93901,1.93923,1.93846,1.93856,0,0
1462492200,1.93856,1.9386,1.93805,1.93833,0,0
1462492500,1.93833,1.93874,1.93803,1.93806,0,0
1462492800,1.93806,1.93866,1.93785,1.9379,0,0
1462493100,1.9379,1.93854,1.93784,1.93854,0,0
1462493400,1.93854,1.93906,1.93836,1.93846,0,0
1462493700,1.93846,1.93866,1.93793,1.93858,0,0
1462494000,1.93858,1.93904,1.93825,1.9388,0,0
1462494300,1.9388,1.93892,1.93804,1.93804,0,0
1462494600,1.93804,1.93816,1.93766,1.93768,0,0
1462494900,1.93768,1.93805,1.93746,1.93762,0,0
1462495200,1.93762,1.93821,1.93748,1.93821,0,0
1462495500,1.93821,1.93946,1.93814,1.93946,0,0
1462495800,1.93946,1.9398,1.93874,1.9397,0,0
1462496100,1.9397,1.94035,1.93952,1.94028,0,0
1462496400,1.94028,1.94164,1.94022,1.94081,0,0
1462496700,1.94081,1.94152,1.94034,1.9415,0,0
1462497000,1.9415,1.94178,1.94056,1.94091,0,0
1462497300,1.94091,1.9411,1.94038,1.94056,0,0
1462497600,1.94056,1.94088,1.94003,1.94045,0,0
1462497900,1.94045,1.94158,1.9398,1.94131,0,0
1462498200,1.94131,1.95224,1.94123,1.95191,0,0
1462498500,1.95191,1.95341,1.95097,1.95172,0,0
1462498800,1.95172,1.95416,1.95174,1.95366,0,0
1462499100,1.95366,1.95447,1.95216,1.95256,0,0
1462499400,1.95256,1.95476,1.95241,1.95472,0,0
1462499700,1.95472,1.95638,1.95474,1.95618,0,0
1462500000,1.95618,1.9574,1.95584,1.95717,0,0
1462500300,1.95717,1.95806,1.95648,1.95728,0,0
1462500600,1.95728,1.95736,1.95652,1.95684,0,0
1462500900,1.95684,1.95868,1.95662,1.95746,0,0
1462501200,1.95746,1.95868,1.95717,1.9586,0,0
1462501500,1.9586,1.95874,1.95697,1.95772,0,0
1462501800,1.95772,1.95918,1.9573,1.95755,0,0
1462502100,1.95755,1.95818,1.95714,1.95757,0,0
1462502400,1.95757,1.95775,1.9565,1.95661,0,0
1462502700,1.95661,1.95701,1.95617,1.95624,0,0
1462503000,1.95624,1.95692,1.95584,1.95688,0,0
1462503300,1.95688,1.95819,1.9566,1.95774,0,0
1462503600,1.95774,1.95889,1.95747,1.95856,0,0
1462503900,1.95856,1.95864,1.95777,1.95827,0,0
1462504200,1.95827,1.95891,1.95811,1.95866,0,0
1462504500,1.95866,1.95882,1.95829,1.9584,0,0
1462504800,1.9584,1.9584,1.95792,1.95839,0,0
1462505100,1.95839,1.9602,1.9583,1.9598,0,0
1462505400,1.9598,1.96025,1.95914,1.95952,0,0
1462505700,1.95952,1.95954,1.95892,1.95916,0,0
1462506000,1.95916,1.9595,1.95853,1.95934,0,0
1462506300,1.95934,1.96102,1.95926,1.96021,0,0
1462506600,1.96021,1.96082,1.96019,1.9604,0,0
1462506900,1.9604,1.96088,1.9603,1.96036,0,0
1462507200,1.96036,1.96055,1.9595,1.9605,0,0
1462507500,1.9605,1.96072,1.95975,1.96048,0,0
1462507800,1.96048,1.96066,1.95968,1.96034,0,0
1462508100,1.96034,1.96042,1.9593,1.95934,0,0
1462508400,1.95934,1.95975,1.95932,1.9594,0,0
1462508700,1.9594,1.9601,1.95936,1.95963,0,0
1462509000,1.95963,1.95972,1.95886,1.95918,0,0
1462509300,1.95918,1.95952,1.95908,1.95928,0,0
1462509600,1.95928,1.95936,1.95856,1.95884,0,0
1462509900,1.95884,1.95935,1.95854,1.95913,0,0
1462510200,1.95913,1.95919,1.95854,1.95906,0,0
1462510500,1.95906,1.95933,1.95856,1.95922,0,0
1462510800,1.95922,1.96007,1.9592,1.95984,0,0
1462511100,1.95984,1.95987,1.95912,1.95924,0,0
1462511400,1.95924,1.9596,1.9589,1.95892,0,0
1462511700,1.95892,1.9593,1.95844,1.95856,0,0
1462512000,1.95856,1.9588,1.95824,1.95836,0,0
1462512300,1.95836,1.95836,1.95743,1.95743,0,0
1462512600,1.95743,1.95764,1.95622,1.95634,0,0
