time,open,high,low,close,"Pattern Alert",Volume
1463509800,1.86651,1.86708,1.8665,1.86674,0,0
1463510100,1.86674,1.86702,1.86658,1.86702,0,0
1463510400,1.86702,1.86709,1.86646,1.86679,0,0
1463510700,1.86679,1.86694,1.8661,1.86612,0,0
1463511000,1.86612,1.86668,1.86599,1.86626,0,0
1463511300,1.86626,1.86748,1.86628,1.8668,0,0
1463511600,1.8668,1.86706,1.86664,1.86686,0,0
1463511900,1.86686,1.86702,1.86602,1.86626,0,0
1463512200,1.86626,1.86635,1.86599,1.86606,0,0
1463512500,1.86606,1.86665,1.86595,1.86664,0,0
1463512800,1.86664,1.86725,1.86652,1.86707,0,0
1463513100,1.86707,1.86769,1.86688,1.8673,0,0
1463513400,1.8673,1.86734,1.86691,1.86704,0,0
1463513700,1.86704,1.8671,1.86664,1.86674,0,0
1463514000,1.86674,1.86695,1.86655,1.86672,0,0
1463514300,1.86672,1.86672,1.86613,1.86614,0,0
1463514600,1.86614,1.86625,1.86592,1.86598,0,0
1463514900,1.86598,1.866,1.8655,1.86566,0,0
1463515200,1.86566,1.86578,1.86556,1.86568,0,0
1463515500,1.86568,1.86594,1.86538,1.86594,0,0
1463515800,1.86594,1.8665,1.86596,1.86636,0,0
1463516100,1.86636,1.86663,1.86624,1.86636,0,0
1463516400,1.86636,1.8666,1.86616,1.86644,0,0
1463516700,1.86644,1.86648,1.86616,1.86623,0,0
1463517000,1.86623,1.86684,1.86598,1.8667,0,0
1463517300,1.8667,1.86704,1.8666,1.86686,0,0
1463517600,1.86686,1.86685,1.86632,1.86644,0,0
1463517900,1.86644,1.86682,1.86643,1.86668,0,0
1463518200,1.86668,1.86714,1.86664,1.86714,0,0
1463518500,1.86714,1.86755,1.86696,1.86696,0,0
1463518800,1.86696,1.86688,1.86646,1.8666,0,0
1463519100,1.8666,1.86664,1.8657,1.86636,0,0
1463519400,1.86636,1.86651,1.86598,1.86598,0,0
1463519700,1.86598,1.86605,1.86584,1.86592,0,0
1463520000,1.86592,1.86606,1.86589,1.86602,0,0
1463520300,1.86602,1.86622,1.86561,1.86568,0,0
1463520600,1.86568,1.86578,1.86565,1.8657,0,0
1463520900,1.8657,1.86615,1.86562,1.86584,0,0
1463521200,1.86584,1.86615,1.86566,1.86604,0,0
1463521500,1.86604,1.86634,1.86604,1.86631,0,0
1463521800,1.86631,1.8664,1.86629,1.86639,0,0
1463522100,1.86639,1.86648,1.86633,1.86646,0,0
1463522400,1.86646,1.86652,1.86604,1.86611,0,0
1463522700,1.86611,1.8663,1.86593,1.86628,0,0
1463523000,1.86628,1.86639,1.86623,1.86624,0,0
1463523300,1.86624,1.86637,1.86606,1.86631,0,0
1463523600,1.86631,1.86671,1.86619,1.86628,0,0
1463523900,1.86628,1.86647,1.86574,1.8662,0,0
1463524200,1.8662,1.86634,1.866,1.86608,0,0
1463524500,1.86608,1.8664,1.86606,1.86632,0,0
1463524800,1.86632,1.86636,1.86602,1.86636,0,0
1463525100,1.86636,1.86644,1.86612,1.86629,0,0
1463525400,1.86629,1.86634,1.86608,1.8663,0,0
1463525700,1.8663,1.86632,1.86602,1.86626,0,0
1463526000,1.86626,1.86624,1.86582,1.86602,0,0
1463526300,1.86602,1.86618,1.86589,1.86613,0,0
1463526600,1.86613,1.86617,1.86598,1.86613,0,0
1463526900,1.86613,1.86618,1.86606,1.8661,0,0
1463527200,1.8661,1.86612,1.86604,1.86606,0,0
1463527500,1.86606,1.8662,1.86583,1.86589,0,0
1463527800,1.86589,1.8659,1.8657,1.86574,0,0
1463528100,1.86574,1.866,1.86573,1.8659,0,0
1463528400,1.8659,1.86596,1.86574,1.86596,0,0
1463528700,1.86596,1.86606,1.86589,1.86592,0,0
1463529000,1.86592,1.86624,1.86578,1.86614,0,0
1463529300,1.86614,1.86629,1.86606,1.8661,0,0
1463529600,1.8661,1.86614,1.86586,1.86608,0,0
1463529900,1.86608,1.8663,1.86601,1.8661,0,0
1463530200,1.8661,1.86638,1.8659,1.86638,0,0
1463530500,1.86638,1.8665,1.86584,1.86592,0,0
1463530800,1.86592,1.86596,1.86562,1.86586,0,0
1463531100,1.86586,1.86626,1.86572,1.86616,0,0
1463531400,1.86616,1.86677,1.86615,1.86653,0,0
1463531700,1.86653,1.86656,1.8663,1.86648,0,0
1463532000,1.86648,1.86652,1.86622,1.86632,0,0
1463532300,1.86632,1.86661,1.86628,1.86656,0,0
1463532600,1.86656,1.86656,1.86602,1.86609,0,0
1463532900,1.86609,1.86687,1.8661,1.86684,0,0
1463533200,1.86684,1.8671,1.86672,1.8671,0,0
1463533500,1.8671,1.86722,1.86648,1.86667,0,0
1463533800,1.86667,1.86692,1.8666,1.86674,0,0
1463534100,1.86674,1.86692,1.86654,1.8667,0,0
1463534400,1.8667,1.86688,1.86658,1.86668,0,0
1463534700,1.86668,1.86668,1.8663,1.86642,0,0
1463535000,1.86642,1.86669,1.8661,1.86611,0,0
1463535300,1.86611,1.86673,1.86605,1.86665,0,0
1463535600,1.86665,1.86666,1.8664,1.86645,0,0
1463535900,1.86645,1.86646,1.86618,1.8664,0,0
1463536200,1.8664,1.86666,1.86642,1.86655,0,0
1463536500,1.86655,1.86666,1.86628,1.8663,0,0
1463536800,1.8663,1.86699,1.86629,1.86696,0,0
1463537100,1.86696,1.86704,1.8669,1.8669,0,0
1463537400,1.8669,1.86698,1.86672,1.86692,0,0
1463537700,1.86692,1.86747,1.86692,1.86742,0,0
1463538000,1.86742,1.86748,1.86724,1.86738,0,0
1463538300,1.86738,1.86739,1.86719,1.86724,0,0
1463538600,1.86724,1.86724,1.86676,1.86687,0,0
1463538900,1.86687,1.8671,1.86668,1.86674,0,0
1463539200,1.86674,1.86703,1.86649,1.86702,0,0
1463539500,1.86702,1.86705,1.86646,1.86688,0,0
1463539800,1.86688,1.86711,1.86666,1.86692,0,0
1463540100,1.86692,1.86735,1.86669,1.86691,0,0
1463540400,1.86691,1.86737,1.8669,1.86726,0,0
1463540700,1.86726,1.86767,1.86727,1.86756,0,0
1463541000,1.86756,1.8676,1.86729,1.86729,0,0
1463541300,1.86729,1.8675,1.8672,1.86733,0,0
1463541600,1.86733,1.86738,1.86722,1.86738,0,0
1463541900,1.86738,1.86756,1.86712,1.86756,0,0
1463542200,1.86756,1.86766,1.86712,1.86734,0,0
1463542500,1.86734,1.8675,1.86723,1.86724,0,0
1463542800,1.86724,1.86751,1.86711,1.86751,0,0
1463543100,1.86751,1.8677,1.86738,1.86756,0,0
1463543400,1.86756,1.86761,1.86741,1.86744,0,0
1463543700,1.86744,1.86786,1.86734,1.86774,0,0
1463544000,1.86774,1.86805,1.86762,1.868,0,0
1463544300,1.868,1.86803,1.8678,1.8679,0,0
1463544600,1.8679,1.86789,1.86779,1.86782,0,0
1463544900,1.86782,1.86792,1.86772,1.86775,0,0
1463545200,1.86775,1.86794,1.86764,1.86767,0,0
1463545500,1.86767,1.86782,1.86745,1.86762,0,0
1463545800,1.86762,1.86782,1.8675,1.86782,0,0
1463546100,1.86782,1.86781,1.86759,1.86768,0,0
1463546400,1.86768,1.8678,1.8676,1.86774,0,0
1463546700,1.86774,1.86783,1.86738,1.8674,0,0
1463547000,1.8674,1.86754,1.86736,1.86754,0,0
1463547300,1.86754,1.86795,1.86744,1.8678,0,0
1463547600,1.8678,1.86796,1.86756,1.86758,0,0
1463547900,1.86758,1.86783,1.86757,1.86783,0,0
1463548200,1.86783,1.86794,1.86771,1.86772,0,0
1463548500,1.86772,1.86773,1.86736,1.86739,0,0
1463548800,1.86739,1.8676,1.86737,1.86749,0,0
1463549100,1.86749,1.86752,1.86736,1.86746,0,0
1463549400,1.86746,1.86758,1.86736,1.86752,0,0
1463549700,1.86752,1.86762,1.8673,1.86758,0,0
1463550000,1.86758,1.86762,1.8674,1.86754,0,0
1463550300,1.86754,1.86778,1.86746,1.86746,0,0
1463550600,1.86746,1.86768,1.86738,1.86762,0,0
1463550900,1.86762,1.86788,1.86752,1.86788,0,0
1463551200,1.86788,1.86844,1.8678,1.86835,0,0
1463551500,1.86835,1.8686,1.86799,1.86832,0,0
1463551800,1.86832,1.86852,1.86799,1.868,0,0
1463552100,1.868,1.86852,1.86778,1.868,0,0
1463552400,1.868,1.86857,1.8679,1.86813,0,0
1463552700,1.86813,1.86844,1.86791,1.86814,0,0
1463553000,1.86814,1.86913,1.86812,1.86881,0,0
