time,open,high,low,close,"Pattern Alert",Volume
1480098600,1.26274,1.26311,1.26268,1.26306,0,0
1480098900,1.26306,1.26311,1.26194,1.26198,0,0
1480099200,1.26198,1.26262,1.26196,1.262,0,0
1480099500,1.262,1.26228,1.26195,1.26215,0,0
1480099800,1.26215,1.26235,1.26206,1.26212,0,0
1480100100,1.26212,1.26378,1.26213,1.26373,0,0
1480100400,1.26373,1.26465,1.2636,1.26421,0,0
1480100700,1.26421,1.26423,1.26376,1.26388,0,0
1480101000,1.26388,1.26394,1.2637,1.26374,0,0
1480101300,1.26374,1.26386,1.2635,1.2635,0,0
1480101600,1.2635,1.26385,1.26349,1.2636,0,0
1480101900,1.2636,1.26372,1.26322,1.26322,0,0
1480102200,1.26322,1.26322,1.26303,1.26308,0,0
1480102500,1.26308,1.26332,1.26306,1.26328,0,0
1480102800,1.26328,1.26336,1.26324,1.26326,0,0
1480103100,1.26326,1.26344,1.26291,1.26314,0,0
1480103400,1.26314,1.26318,1.26272,1.263,0,0
1480103700,1.263,1.26606,1.263,1.26564,0,0
1480104000,1.26564,1.26566,1.26378,1.26442,0,0
1480104300,1.26442,1.26486,1.26428,1.26485,0,0
1480104600,1.26485,1.26497,1.26388,1.26404,0,0
1480104900,1.26404,1.26422,1.26382,1.26393,0,0
1480105200,1.26393,1.2641,1.26376,1.26402,0,0
1480105500,1.26402,1.26424,1.26384,1.26422,0,0
1480105800,1.26422,1.26452,1.2638,1.26409,0,0
1480106100,1.26409,1.26408,1.26374,1.26406,0,0
1480106400,1.26406,1.26438,1.26382,1.26438,0,0
1480106700,1.26438,1.26485,1.26438,1.26485,0,0
1480107000,1.26485,1.26538,1.26444,1.2649,0,0
1480107300,1.2649,1.26538,1.26423,1.2643,0,0
1480107600,1.2643,1.26493,1.2637,1.26434,0,0
1480107900,1.26434,1.26493,1.26418,1.26474,0,0
1480108200,1.26474,1.26542,1.26468,1.26513,0,0
1480108500,1.26513,1.26514,1.26466,1.26478,0,0
1480108800,1.26478,1.26524,1.26478,1.2652,0,0
1480109100,1.2652,1.26538,1.26522,1.26534,0,0
1480109400,1.26534,1.2654,1.26485,1.26504,0,0
1480109700,1.26504,1.26512,1.2642,1.26433,0,0
1480110000,1.26433,1.26489,1.26427,1.26441,0,0
1480110300,1.26441,1.26535,1.26434,1.26511,0,0
1480110600,1.26511,1.26596,1.26394,1.26403,0,0
1480110900,1.26403,1.26706,1.26361,1.26576,0,0
