time,open,high,low,close,"Pattern Alert",Volume
1471545000,131.456,131.495,131.429,131.448,0,0
1471545300,131.448,131.459,131.406,131.411,0,0
1471545600,131.411,131.418,131.343,131.4,0,0
1471545900,131.4,131.405,131.33,131.355,0,0
1471546200,131.355,131.382,131.332,131.354,0,0
1471546500,131.354,131.398,131.35,131.39,0,0
1471546800,131.39,131.473,131.39,131.44,0,0
1471547100,131.44,131.502,131.438,131.488,0,0
1471547400,131.488,131.556,131.445,131.554,0,0
1471547700,131.554,131.616,131.542,131.586,0,0
1471548000,131.586,131.605,131.553,131.566,0,0
1471548300,131.566,131.641,131.562,131.641,0,0
1471548600,131.641,131.635,131.598,131.625,0,0
1471548900,131.625,131.648,131.567,131.596,0,0
1471549200,131.596,131.616,131.557,131.558,0,0
1471549500,131.558,131.628,131.549,131.612,0,0
1471549800,131.612,131.626,131.551,131.569,0,0
1471550100,131.569,131.601,131.536,131.59,0,0
1471550400,131.59,131.69,131.47,131.472,0,0
1471550700,131.472,131.57,131.462,131.48,0,0
1471551000,131.48,131.562,131.452,131.546,0,0
1471551300,131.546,131.584,131.542,131.584,0,0
1471551600,131.584,131.6,131.552,131.59,0,0
1471551900,131.59,131.656,131.587,131.648,0,0
1471552200,131.648,131.648,131.552,131.568,0,0
1471552500,131.568,131.651,131.568,131.651,0,0
1471552800,131.651,131.656,131.626,131.648,0,0
1471553100,131.648,131.654,131.531,131.531,0,0
1471553400,131.531,131.566,131.499,131.532,0,0
1471553700,131.532,131.558,131.506,131.525,0,0
1471554000,131.525,131.576,131.534,131.544,0,0
1471554300,131.544,131.576,131.432,131.48,0,0
1471554600,131.48,131.533,131.47,131.482,0,0
1471554900,131.482,131.689,131.478,131.682,0,0
1471555200,131.682,131.685,131.552,131.632,0,0
1471555500,131.632,131.656,131.594,131.594,0,0
1471555800,131.594,131.609,131.556,131.572,0,0
1471556100,131.572,131.58,131.535,131.544,0,0
1471556400,131.544,131.584,131.543,131.584,0,0
1471556700,131.584,131.587,131.558,131.567,0,0
1471557000,131.567,131.586,131.556,131.561,0,0
1471557300,131.561,131.561,131.503,131.518,0,0
1471557600,131.518,131.626,131.528,131.601,0,0
1471557900,131.601,131.786,131.576,131.774,0,0
1471558200,131.774,131.814,131.654,131.77,0,0
1471558500,131.77,131.77,131.608,131.619,0,0
1471558800,131.619,131.628,131.592,131.592,0,0
1471559100,131.592,131.698,131.579,131.672,0,0
1471559400,131.672,131.714,131.636,131.68,0,0
1471559700,131.68,131.746,131.632,131.684,0,0
1471560000,131.684,131.719,131.66,131.702,0,0
1471560300,131.702,131.742,131.678,131.733,0,0
1471560600,131.733,131.741,131.681,131.708,0,0
1471560900,131.708,131.755,131.686,131.73,0,0
1471561200,131.73,131.724,131.646,131.671,0,0
1471561500,131.671,131.722,131.658,131.72,0,0
1471561800,131.72,131.772,131.716,131.724,0,0
1471562100,131.724,131.74,131.673,131.684,0,0
1471562400,131.684,131.705,131.66,131.684,0,0
1471562700,131.684,131.748,131.691,131.718,0,0
1471563000,131.718,131.738,131.704,131.718,0,0
1471563300,131.718,131.776,131.72,131.768,0,0
1471563600,131.768,131.81,131.75,131.808,0,0
1471563900,131.808,131.828,131.774,131.812,0,0
1471564200,131.812,131.812,131.774,131.778,0,0
1471564500,131.778,131.813,131.765,131.813,0,0
1471564800,131.813,131.901,131.766,131.844,0,0
1471565100,131.844,131.921,131.81,131.921,0,0
1471565400,131.921,131.927,131.855,131.874,0,0
1471565700,131.874,131.934,131.847,131.86,0,0
1471566000,131.86,131.924,131.85,131.9,0,0
1471566300,131.9,131.948,131.884,131.935,0,0
1471566600,131.935,131.938,131.886,131.896,0,0
1471566900,131.896,131.942,131.892,131.932,0,0
1471567200,131.932,132.005,131.928,131.974,0,0
1471567500,131.974,132.024,131.928,131.935,0,0
1471567800,131.935,131.997,131.894,131.99,0,0
1471568100,131.99,132.004,131.891,131.914,0,0
1471568400,131.914,131.944,131.834,131.837,0,0
1471568700,131.837,131.871,131.784,131.784,0,0
1471569000,131.784,131.889,131.786,131.878,0,0
1471569300,131.878,131.887,131.84,131.842,0,0
1471569600,131.842,131.846,131.764,131.792,0,0
1471569900,131.792,131.844,131.77,131.816,0,0
1471570200,131.816,131.838,131.737,131.764,0,0
1471570500,131.764,131.801,131.71,131.732,0,0
1471570800,131.732,131.834,131.716,131.796,0,0
1471571100,131.796,131.86,131.779,131.824,0,0
1471571400,131.824,131.838,131.758,131.782,0,0
1471571700,131.782,131.813,131.71,131.71,0,0
1471572000,131.71,131.771,131.551,131.582,0,0
1471572300,131.582,131.682,131.562,131.661,0,0
1471572600,131.661,131.666,131.488,131.524,0,0
1471572900,131.524,131.546,131.464,131.526,0,0
1471573200,131.526,131.659,131.523,131.653,0,0
1471573500,131.653,131.676,131.598,131.642,0,0
1471573800,131.642,131.696,131.639,131.642,0,0
1471574100,131.642,131.676,131.594,131.627,0,0
1471574400,131.627,131.671,131.592,131.669,0,0
1471574700,131.669,131.704,131.648,131.704,0,0
1471575000,131.704,131.708,131.648,131.648,0,0
1471575300,131.648,131.681,131.593,131.674,0,0
1471575600,131.674,131.682,131.622,131.63,0,0
1471575900,131.63,131.706,131.63,131.674,0,0
1471576200,131.674,131.79,131.659,131.788,0,0
1471576500,131.788,131.805,131.74,131.788,0,0
1471576800,131.788,131.792,131.705,131.718,0,0
1471577100,131.718,131.746,131.698,131.743,0,0
1471577400,131.743,131.754,131.707,131.717,0,0
1471577700,131.717,131.774,131.662,131.768,0,0
1471578000,131.768,131.876,131.764,131.792,0,0
1471578300,131.792,131.85,131.755,131.774,0,0
1471578600,131.774,131.826,131.777,131.8,0,0
1471578900,131.8,131.858,131.777,131.822,0,0
1471579200,131.822,131.848,131.79,131.818,0,0
1471579500,131.818,131.944,131.811,131.934,0,0
1471579800,131.934,132.02,131.926,131.977,0,0
1471580100,131.977,131.978,131.892,131.892,0,0
1471580400,131.892,131.924,131.876,131.902,0,0
1471580700,131.902,131.92,131.851,131.874,0,0
1471581000,131.874,131.888,131.846,131.859,0,0
1471581300,131.859,131.866,131.808,131.824,0,0
1471581600,131.824,131.856,131.815,131.846,0,0
1471581900,131.846,131.874,131.809,131.848,0,0
1471582200,131.848,131.887,131.853,131.879,0,0
1471582500,131.879,131.919,131.866,131.878,0,0
1471582800,131.878,131.907,131.826,131.831,0,0
1471583100,131.831,131.87,131.83,131.847,0,0
1471583400,131.847,131.87,131.74,131.772,0,0
1471583700,131.772,131.804,131.754,131.786,0,0
1471584000,131.786,131.786,131.698,131.698,0,0
1471584300,131.698,131.75,131.698,131.727,0,0
1471584600,131.727,131.773,131.644,131.656,0,0
1471584900,131.656,131.668,131.622,131.663,0,0
1471585200,131.663,131.693,131.642,131.678,0,0
1471585500,131.678,131.71,131.655,131.694,0,0
