time,open,high,low,close,"Pattern Alert",Volume
1459881000,1.41458,1.41526,1.41452,1.41512,0,0
1459881300,1.41512,1.41529,1.41504,1.41517,0,0
1459881600,1.41517,1.41538,1.41503,1.41503,0,0
1459881900,1.41503,1.41542,1.41494,1.41538,0,0
1459882200,1.41538,1.41574,1.41523,1.41555,0,0
1459882500,1.41555,1.41578,1.41546,1.41549,0,0
1459882800,1.41549,1.41568,1.41536,1.41543,0,0
1459883100,1.41543,1.41544,1.41513,1.41513,0,0
1459883400,1.41513,1.41525,1.415,1.41509,0,0
1459883700,1.41509,1.41519,1.41496,1.41496,0,0
1459884000,1.41496,1.41504,1.4148,1.41482,0,0
1459884300,1.41482,1.41486,1.41464,1.41468,0,0
1459884600,1.41468,1.41478,1.41464,1.41467,0,0
1459884900,1.41467,1.41556,1.41467,1.41556,0,0
1459885200,1.41556,1.41555,1.41526,1.41546,0,0
1459885500,1.41546,1.4158,1.41536,1.41576,0,0
1459885800,1.41576,1.41577,1.41538,1.41547,0,0
1459886100,1.41547,1.41584,1.4154,1.41568,0,0
1459886400,1.41568,1.41572,1.41542,1.41562,0,0
1459886700,1.41562,1.41568,1.41558,1.41568,0,0
1459887000,1.41568,1.41586,1.4156,1.41576,0,0
1459887300,1.41576,1.41582,1.41574,1.41576,0,0
1459887600,1.41576,1.41584,1.41568,1.41584,0,0
1459887900,1.41584,1.41589,1.41573,1.41574,0,0
1459888200,1.41574,1.41594,1.4158,1.41594,0,0
1459888500,1.41594,1.41636,1.41594,1.41619,0,0
1459888800,1.41619,1.41632,1.41568,1.41568,0,0
1459889100,1.41568,1.41598,1.41562,1.41588,0,0
1459889400,1.41588,1.41654,1.4159,1.4159,0,0
1459889700,1.4159,1.41612,1.41581,1.41605,0,0
1459890000,1.41605,1.41605,1.41605,1.41605,0,0
1459890300,1.41605,1.41622,1.41588,1.41619,0,0
1459890600,1.41619,1.41624,1.4161,1.4161,0,0
1459890900,1.4161,1.4161,1.4161,1.4161,0,0
1459891200,1.4161,1.41604,1.41591,1.41604,0,0
1459891500,1.41604,1.4161,1.41578,1.41583,0,0
1459891800,1.41583,1.41588,1.4158,1.41588,0,0
1459892100,1.41588,1.4159,1.41585,1.41588,0,0
1459892400,1.41588,1.4161,1.4158,1.41598,0,0
1459892700,1.41598,1.41608,1.41566,1.41594,0,0
1459893000,1.41594,1.41602,1.41581,1.41592,0,0
1459893300,1.41592,1.41606,1.41582,1.41603,0,0
1459893600,1.41603,1.41618,1.41585,1.41597,0,0
1459893900,1.41597,1.41598,1.41594,1.41594,0,0
1459894200,1.41594,1.41602,1.41579,1.41594,0,0
1459894500,1.41594,1.416,1.41589,1.41594,0,0
1459894800,1.41594,1.41602,1.41592,1.41592,0,0
1459895100,1.41592,1.41592,1.41546,1.41568,0,0
1459895400,1.41568,1.41584,1.41562,1.41574,0,0
1459895700,1.41574,1.41577,1.41565,1.41566,0,0
1459896000,1.41566,1.4158,1.41532,1.41547,0,0
1459896300,1.41547,1.41586,1.41544,1.41556,0,0
1459896600,1.41556,1.41584,1.41551,1.41576,0,0
1459896900,1.41576,1.41586,1.41563,1.41563,0,0
1459897200,1.41563,1.41578,1.4156,1.41573,0,0
1459897500,1.41573,1.41568,1.41562,1.41566,0,0
1459897800,1.41566,1.41606,1.4156,1.41606,0,0
1459898100,1.41606,1.41614,1.41592,1.41604,0,0
1459898400,1.41604,1.41602,1.41589,1.41591,0,0
1459898700,1.41591,1.41604,1.41592,1.41604,0,0
1459899000,1.41604,1.41616,1.41544,1.41587,0,0
1459899300,1.41587,1.41588,1.41568,1.41574,0,0
1459899600,1.41574,1.41596,1.41572,1.41588,0,0
1459899900,1.41588,1.41592,1.41536,1.41544,0,0
1459900200,1.41544,1.41544,1.41494,1.41534,0,0
1459900500,1.41534,1.4156,1.41525,1.4156,0,0
1459900800,1.4156,1.41565,1.41548,1.4156,0,0
1459901100,1.4156,1.41568,1.4156,1.41561,0,0
1459901400,1.41561,1.41582,1.41558,1.4158,0,0
1459901700,1.4158,1.41597,1.4156,1.4156,0,0
1459902000,1.4156,1.41567,1.41532,1.41565,0,0
1459902300,1.41565,1.41588,1.41569,1.41583,0,0
1459902600,1.41583,1.41584,1.41565,1.41572,0,0
1459902900,1.41572,1.41578,1.41566,1.41574,0,0
1459903200,1.41574,1.41576,1.41556,1.41568,0,0
1459903500,1.41568,1.4159,1.41538,1.41538,0,0
1459903800,1.41538,1.41548,1.41499,1.415,0,0
1459904100,1.415,1.41552,1.41488,1.41538,0,0
1459904400,1.41538,1.41541,1.41494,1.41494,0,0
1459904700,1.41494,1.41507,1.41477,1.41506,0,0
1459905000,1.41506,1.41505,1.41456,1.41458,0,0
1459905300,1.41458,1.41469,1.41441,1.41462,0,0
1459905600,1.41462,1.41465,1.4144,1.4145,0,0
1459905900,1.4145,1.41456,1.41448,1.41456,0,0
