time,open,high,low,close,"Pattern Alert",Volume
1465929000,1.285,1.28532,1.2846,1.2853,0,0
1465929300,1.2853,1.28546,1.28512,1.28531,0,0
1465929600,1.28531,1.28545,1.28508,1.28523,0,0
1465929900,1.28523,1.2853,1.2849,1.28518,0,0
1465930200,1.28518,1.28536,1.28507,1.28526,0,0
1465930500,1.28526,1.28585,1.28517,1.28551,0,0
1465930800,1.28551,1.28596,1.28552,1.28585,0,0
1465931100,1.28585,1.28592,1.2856,1.2858,0,0
1465931400,1.2858,1.2858,1.28547,1.28547,0,0
1465931700,1.28547,1.28548,1.28478,1.28479,0,0
1465932000,1.28479,1.28514,1.28468,1.28494,0,0
1465932300,1.28494,1.28533,1.28478,1.28525,0,0
1465932600,1.28525,1.2854,1.28508,1.28512,0,0
1465932900,1.28512,1.28537,1.2851,1.28526,0,0
1465933200,1.28526,1.28522,1.28474,1.28498,0,0
1465933500,1.28498,1.28534,1.28495,1.28515,0,0
1465933800,1.28515,1.28532,1.28494,1.2853,0,0
1465934100,1.2853,1.28534,1.28502,1.2853,0,0
1465934400,1.2853,1.28567,1.28526,1.28548,0,0
1465934700,1.28548,1.28557,1.28536,1.28542,0,0
1465935000,1.28542,1.28541,1.28444,1.28478,0,0
1465935300,1.28478,1.28484,1.28473,1.28484,0,0
1465935600,1.28484,1.28515,1.28471,1.28503,0,0
1465935900,1.28503,1.2855,1.28498,1.2853,0,0
1465936200,1.2853,1.28624,1.28532,1.2861,0,0
1465936500,1.2861,1.28678,1.2861,1.28671,0,0
1465936800,1.28671,1.28674,1.28638,1.28642,0,0
1465937100,1.28642,1.28684,1.28624,1.28676,0,0
1465937400,1.28676,1.28678,1.28654,1.28669,0,0
1465937700,1.28669,1.28733,1.2867,1.28722,0,0
1465938000,1.28722,1.2873,1.28683,1.28716,0,0
1465938300,1.28716,1.28718,1.28696,1.28711,0,0
1465938600,1.28711,1.28718,1.2863,1.28654,0,0
1465938900,1.28654,1.28662,1.28642,1.28651,0,0
1465939200,1.28651,1.28664,1.28634,1.28642,0,0
1465939500,1.28642,1.2865,1.28626,1.28649,0,0
1465939800,1.28649,1.28649,1.28649,1.28649,0,0
1465940100,1.28649,1.28649,1.2863,1.28649,0,0
1465940400,1.28649,1.2873,1.28635,1.28682,0,0
1465940700,1.28682,1.28706,1.28674,1.28704,0,0
1465941000,1.28704,1.28728,1.28698,1.28706,0,0
1465941300,1.28706,1.28702,1.28631,1.28651,0,0
1465941600,1.28651,1.28695,1.28617,1.28674,0,0
1465941900,1.28674,1.28682,1.28626,1.28633,0,0
1465942200,1.28633,1.28678,1.28622,1.2866,0,0
1465942500,1.2866,1.28674,1.28649,1.28668,0,0
1465942800,1.28668,1.28674,1.28628,1.28658,0,0
1465943100,1.28658,1.2866,1.2864,1.28642,0,0
1465943400,1.28642,1.28649,1.28637,1.28645,0,0
1465943700,1.28645,1.28652,1.28642,1.28647,0,0
1465944000,1.28647,1.2869,1.28646,1.28689,0,0
1465944300,1.28689,1.28695,1.28674,1.28676,0,0
1465944600,1.28676,1.28681,1.28655,1.2868,0,0
1465944900,1.2868,1.28685,1.28655,1.28664,0,0
1465945200,1.28664,1.28662,1.28647,1.2866,0,0
1465945500,1.2866,1.28666,1.2866,1.2866,0,0
1465945800,1.2866,1.28656,1.2863,1.28638,0,0
1465946100,1.28638,1.28644,1.2861,1.28612,0,0
1465946400,1.28612,1.28654,1.28614,1.28638,0,0
1465946700,1.28638,1.28638,1.28626,1.28635,0,0
1465947000,1.28635,1.28651,1.2863,1.28647,0,0
1465947300,1.28647,1.28662,1.28644,1.28662,0,0
1465947600,1.28662,1.28661,1.2863,1.2863,0,0
1465947900,1.2863,1.28631,1.28608,1.28611,0,0
1465948200,1.28611,1.28628,1.28606,1.28628,0,0
1465948500,1.28628,1.28632,1.28612,1.28624,0,0
1465948800,1.28624,1.28656,1.28622,1.28642,0,0
1465949100,1.28642,1.28649,1.28624,1.28636,0,0
1465949400,1.28636,1.28653,1.28636,1.28646,0,0
1465949700,1.28646,1.28653,1.28628,1.28634,0,0
1465950000,1.28634,1.28666,1.2863,1.28656,0,0
1465950300,1.28656,1.287,1.28657,1.28694,0,0
1465950600,1.28694,1.2874,1.28694,1.28714,0,0
1465950900,1.28714,1.28729,1.28704,1.28709,0,0
1465951200,1.28709,1.28712,1.2869,1.2869,0,0
1465951500,1.2869,1.28698,1.28674,1.28674,0,0
1465951800,1.28674,1.28686,1.28643,1.28678,0,0
1465952100,1.28678,1.28686,1.28642,1.28646,0,0
1465952400,1.28646,1.28678,1.2862,1.28624,0,0
1465952700,1.28624,1.28624,1.2856,1.28586,0,0
1465953000,1.28586,1.28642,1.28586,1.28636,0,0
1465953300,1.28636,1.28667,1.28617,1.28666,0,0
1465953600,1.28666,1.28713,1.28666,1.28708,0,0
1465953900,1.28708,1.28744,1.28708,1.28744,0,0
1465954200,1.28744,1.28784,1.28726,1.28726,0,0
1465954500,1.28726,1.28756,1.28714,1.28722,0,0
1465954800,1.28722,1.28746,1.28721,1.2874,0,0
1465955100,1.2874,1.2874,1.28708,1.28712,0,0
1465955400,1.28712,1.28718,1.28668,1.28674,0,0
1465955700,1.28674,1.28676,1.2864,1.28643,0,0
1465956000,1.28643,1.28648,1.28606,1.28606,0,0
1465956300,1.28606,1.28614,1.28564,1.2861,0,0
1465956600,1.2861,1.28622,1.28571,1.28578,0,0
1465956900,1.28578,1.28596,1.28574,1.28596,0,0
1465957200,1.28596,1.286,1.28592,1.28594,0,0
1465957500,1.28594,1.28598,1.28572,1.28574,0,0
1465957800,1.28574,1.28575,1.28546,1.28552,0,0
1465958100,1.28552,1.28574,1.28545,1.28574,0,0
1465958400,1.28574,1.28571,1.2854,1.28542,0,0
1465958700,1.28542,1.28568,1.28542,1.28562,0,0
1465959000,1.28562,1.28569,1.28561,1.28566,0,0
1465959300,1.28566,1.2858,1.28564,1.28577,0,0
1465959600,1.28577,1.28595,1.28582,1.28594,0,0
1465959900,1.28594,1.286,1.28588,1.28596,0,0
1465960200,1.28596,1.28596,1.28558,1.28559,0,0
1465960500,1.28559,1.28568,1.28549,1.28549,0,0
1465960800,1.28549,1.28556,1.28524,1.28552,0,0
1465961100,1.28552,1.28578,1.28552,1.28562,0,0
1465961400,1.28562,1.28565,1.28552,1.28565,0,0
1465961700,1.28565,1.28568,1.28563,1.28563,0,0
1465962000,1.28563,1.28565,1.2856,1.28563,0,0
1465962300,1.28563,1.2858,1.28558,1.28561,0,0
1465962600,1.28561,1.28572,1.28555,1.28568,0,0
1465962900,1.28568,1.28573,1.2856,1.28564,0,0
1465963200,1.28564,1.28705,1.2856,1.28684,0,0
1465963500,1.28684,1.28712,1.28656,1.2871,0,0
1465963800,1.2871,1.28744,1.2868,1.28688,0,0
1465964100,1.28688,1.28688,1.28657,1.28666,0,0
1465964400,1.28666,1.28672,1.28662,1.28666,0,0
1465964700,1.28666,1.28666,1.28644,1.28645,0,0
1465965000,1.28645,1.2866,1.28644,1.28656,0,0
1465965300,1.28656,1.28698,1.28648,1.28692,0,0
