time,open,high,low,close,"Pattern Alert",Volume
1479493800,1.01006,1.01022,1.00992,1.01009,0,0
1479494100,1.01009,1.01018,1.00972,1.01002,0,0
1479494400,1.01002,1.0101,1.00968,1.00979,0,0
1479494700,1.00979,1.0102,1.00962,1.01011,0,0
1479495000,1.01011,1.01015,1.00984,1.01013,0,0
1479495300,1.01013,1.01018,1.00961,1.00976,0,0
1479495600,1.00976,1.0099,1.00954,1.00984,0,0
1479495900,1.00984,1.00986,1.00958,1.00958,0,0
1479496200,1.00958,1.00972,1.00938,1.00966,0,0
1479496500,1.00966,1.00984,1.00956,1.00979,0,0
1479496800,1.00979,1.00982,1.00956,1.00956,0,0
1479497100,1.00956,1.0099,1.00955,1.0099,0,0
1479497400,1.0099,1.00992,1.00982,1.0099,0,0
1479497700,1.0099,1.00986,1.0097,1.00973,0,0
1479498000,1.00973,1.01005,1.00971,1.00978,0,0
1479498300,1.00978,1.00988,1.00967,1.00967,0,0
1479498600,1.00967,1.00981,1.00934,1.00974,0,0
1479498900,1.00974,1.00996,1.00954,1.00978,0,0
1479499200,1.00978,1.01012,1.00978,1.01004,0,0
1479499500,1.01004,1.01015,1.00999,1.01009,0,0
1479499800,1.01009,1.01038,1.01005,1.01038,0,0
1479500100,1.01038,1.01043,1.01005,1.01026,0,0
1479500400,1.01026,1.01031,1.01008,1.01031,0,0
1479500700,1.01031,1.01034,1.01014,1.01024,0,0
1479501000,1.01024,1.01034,1.01004,1.01034,0,0
1479501300,1.01034,1.01051,1.01036,1.01048,0,0
1479501600,1.01048,1.01069,1.01028,1.01033,0,0
1479501900,1.01033,1.01052,1.01035,1.01035,0,0
1479502200,1.01035,1.01034,1.01002,1.01034,0,0
1479502500,1.01034,1.01031,1.01001,1.01012,0,0
1479502800,1.01012,1.01008,1.00986,1.01001,0,0
1479503100,1.01001,1.01014,1.01004,1.0101,0,0
1479503400,1.0101,1.01025,1.01004,1.0102,0,0
1479503700,1.0102,1.0102,1.01014,1.01014,0,0
1479504000,1.01014,1.01018,1.01015,1.01018,0,0
1479504300,1.01018,1.01012,1.00984,1.00984,0,0
1479504600,1.00984,1.00979,1.00968,1.00968,0,0
1479504900,1.00968,1.00978,1.0096,1.00966,0,0
1479505200,1.00966,1.00968,1.0096,1.00964,0,0
1479505500,1.00964,1.01027,1.0097,1.01027,0,0
1479505800,1.01027,1.01046,1.01004,1.01025,0,0
1479506100,1.01025,1.01051,1.01001,1.01014,0,0
