time,open,high,low,close,"Pattern Alert",Volume
1452709800,117.954,117.993,117.954,117.982,0,0
1452710100,117.982,117.988,117.892,117.893,0,0
1452710400,117.893,117.914,117.836,117.859,0,0
1452710700,117.859,117.91,117.852,117.878,0,0
1452711000,117.878,117.956,117.865,117.936,0,0
1452711300,117.936,117.96,117.882,117.89,0,0
1452711600,117.89,117.94,117.842,117.888,0,0
1452711900,117.888,117.908,117.828,117.858,0,0
1452712200,117.858,117.922,117.841,117.877,0,0
1452712500,117.877,117.882,117.806,117.878,0,0
1452712800,117.878,117.882,117.821,117.862,0,0
1452713100,117.862,117.906,117.827,117.898,0,0
1452713400,117.898,117.898,117.798,117.81,0,0
1452713700,117.81,117.882,117.786,117.869,0,0
1452714000,117.869,117.87,117.692,117.724,0,0
1452714300,117.724,117.754,117.705,117.72,0,0
1452714600,117.72,117.82,117.718,117.815,0,0
1452714900,117.815,117.846,117.764,117.766,0,0
1452715200,117.766,117.828,117.758,117.824,0,0
1452715500,117.824,117.862,117.808,117.82,0,0
1452715800,117.82,117.832,117.77,117.772,0,0
1452716100,117.772,117.843,117.772,117.832,0,0
1452716400,117.832,117.856,117.79,117.838,0,0
1452716700,117.838,117.896,117.814,117.824,0,0
1452717000,117.824,117.853,117.812,117.824,0,0
1452717300,117.824,117.834,117.764,117.802,0,0
1452717600,117.802,117.806,117.692,117.7,0,0
1452717900,117.7,117.716,117.67,117.682,0,0
1452718200,117.682,117.682,117.642,117.67,0,0
1452718500,117.67,117.701,117.65,117.67,0,0
1452718800,117.67,117.722,117.668,117.722,0,0
1452719100,117.722,117.723,117.696,117.708,0,0
1452719400,117.708,117.714,117.699,117.713,0,0
1452719700,117.713,117.724,117.712,117.722,0,0
1452720000,117.722,117.726,117.652,117.656,0,0
1452720300,117.656,117.672,117.656,117.661,0,0
1452720600,117.661,117.704,117.647,117.69,0,0
1452720900,117.69,117.734,117.688,117.716,0,0
1452721200,117.716,117.739,117.716,117.735,0,0
1452721500,117.735,117.76,117.725,117.75,0,0
1452721800,117.75,117.752,117.714,117.714,0,0
1452722100,117.714,117.712,117.66,117.666,0,0
1452722400,117.666,117.666,117.645,117.654,0,0
1452722700,117.654,117.654,117.62,117.646,0,0
1452723000,117.646,117.68,117.646,117.663,0,0
1452723300,117.663,117.668,117.657,117.657,0,0
1452723600,117.657,117.659,117.646,117.65,0,0
1452723900,117.65,117.65,117.624,117.626,0,0
1452724200,117.626,117.64,117.606,117.631,0,0
1452724500,117.631,117.654,117.62,117.622,0,0
1452724800,117.622,117.636,117.606,117.63,0,0
1452725100,117.63,117.647,117.622,117.625,0,0
1452725400,117.625,117.647,117.618,117.638,0,0
1452725700,117.638,117.668,117.624,117.635,0,0
1452726000,117.635,117.648,117.618,117.628,0,0
1452726300,117.628,117.638,117.61,117.623,0,0
1452726600,117.623,117.654,117.619,117.622,0,0
1452726900,117.622,117.622,117.548,117.555,0,0
1452727200,117.555,117.564,117.516,117.537,0,0
1452727500,117.537,117.56,117.53,117.56,0,0
1452727800,117.56,117.572,117.526,117.526,0,0
1452728100,117.526,117.532,117.454,117.455,0,0
1452728400,117.455,117.464,117.374,117.406,0,0
1452728700,117.406,117.468,117.374,117.376,0,0
1452729000,117.376,117.42,117.372,117.418,0,0
1452729300,117.418,117.438,117.417,117.417,0,0
1452729600,117.417,117.49,117.38,117.382,0,0
1452729900,117.382,117.438,117.356,117.394,0,0
1452730200,117.394,117.408,117.352,117.377,0,0
1452730500,117.377,117.379,117.322,117.327,0,0
1452730800,117.327,117.368,117.308,117.328,0,0
1452731100,117.328,117.396,117.308,117.37,0,0
1452731400,117.37,117.424,117.345,117.354,0,0
1452731700,117.354,117.438,117.336,117.426,0,0
1452732000,117.426,117.536,117.41,117.526,0,0
1452732300,117.526,117.534,117.492,117.492,0,0
1452732600,117.492,117.602,117.488,117.556,0,0
1452732900,117.556,117.562,117.471,117.487,0,0
1452733200,117.487,117.514,117.42,117.436,0,0
1452733500,117.436,117.505,117.434,117.478,0,0
1452733800,117.478,117.478,117.349,117.405,0,0
1452734100,117.405,117.517,117.316,117.323,0,0
1452734400,117.323,117.432,117.31,117.417,0,0
